category,method,reference_method,reference_state,method_state,count,reference_minus_method_collision,ci95_low,ci95_high
OVERALL,L1_REPLACE,PLAIN_FM,safe,safe,308,-0.0575,-0.1025,-0.01125
OVERALL,L1_REPLACE,PLAIN_FM,safe,collision,187,-0.0575,-0.1025,-0.01125
OVERALL,L1_REPLACE,PLAIN_FM,collision,safe,141,-0.0575,-0.1025,-0.01125
OVERALL,L1_REPLACE,PLAIN_FM,collision,collision,164,-0.0575,-0.1025,-0.01125
OVERALL,L05_REPLACE,PLAIN_FM,safe,safe,305,-0.06875,-0.11,-0.02496875000000017
OVERALL,L05_REPLACE,PLAIN_FM,safe,collision,190,-0.06875,-0.11,-0.02496875000000017
OVERALL,L05_REPLACE,PLAIN_FM,collision,safe,135,-0.06875,-0.11,-0.02496875000000017
OVERALL,L05_REPLACE,PLAIN_FM,collision,collision,170,-0.06875,-0.11,-0.02496875000000017
OVERALL,L05_NO_REPLACE,PLAIN_FM,safe,safe,495,0.1075,0.08625,0.13
OVERALL,L05_NO_REPLACE,PLAIN_FM,safe,collision,0,0.1075,0.08625,0.13
OVERALL,L05_NO_REPLACE,PLAIN_FM,collision,safe,86,0.1075,0.08625,0.13
OVERALL,L05_NO_REPLACE,PLAIN_FM,collision,collision,219,0.1075,0.08625,0.13
OVERALL,L05_NO_REPLACE,L05_REPLACE,safe,safe,380,0.17625,0.13875,0.21125
OVERALL,L05_NO_REPLACE,L05_REPLACE,safe,collision,60,0.17625,0.13875,0.21125
OVERALL,L05_NO_REPLACE,L05_REPLACE,collision,safe,201,0.17625,0.13875,0.21125
OVERALL,L05_NO_REPLACE,L05_REPLACE,collision,collision,159,0.17625,0.13875,0.21125
SHIFTED_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,safe,safe,97,0.11875,0.03125,0.2125
SHIFTED_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,safe,collision,20,0.11875,0.03125,0.2125
SHIFTED_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,collision,safe,39,0.11875,0.03125,0.2125
SHIFTED_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,collision,collision,4,0.11875,0.03125,0.2125
ENLARGED_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,safe,safe,32,0.25625,0.175,0.3375
ENLARGED_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,safe,collision,7,0.25625,0.175,0.3375
ENLARGED_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,collision,safe,48,0.25625,0.175,0.3375
ENLARGED_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,collision,collision,73,0.25625,0.175,0.3375
MULTI_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,safe,safe,96,0.0875,0.0125,0.15625
MULTI_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,safe,collision,10,0.0875,0.0125,0.15625
MULTI_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,collision,safe,24,0.0875,0.0125,0.15625
MULTI_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,collision,collision,30,0.0875,0.0125,0.15625
NARROW_PASSAGE,L05_NO_REPLACE,L05_REPLACE,safe,safe,43,0.11875,0.01875,0.21875
NARROW_PASSAGE,L05_NO_REPLACE,L05_REPLACE,safe,collision,23,0.11875,0.01875,0.21875
NARROW_PASSAGE,L05_NO_REPLACE,L05_REPLACE,collision,safe,42,0.11875,0.01875,0.21875
NARROW_PASSAGE,L05_NO_REPLACE,L05_REPLACE,collision,collision,52,0.11875,0.01875,0.21875
GOAL_NEAR_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,safe,safe,112,0.3,0.23125,0.375
GOAL_NEAR_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,safe,collision,0,0.3,0.23125,0.375
GOAL_NEAR_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,collision,safe,48,0.3,0.23125,0.375
GOAL_NEAR_OBSTACLE,L05_NO_REPLACE,L05_REPLACE,collision,collision,0,0.3,0.23125,0.375
