method,scenario_id,category,task_id,seed,severity,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
PLAIN_FM,ood_shifted_000,SHIFTED_OBSTACLE,0,0,mild,1.0,0.0,-0.0064836077634949085,0.0,0.26482270326614366,3.9021146297454834,0.4667795981086212,3.2125233831537368,0.8903069096375384,0.0547209868745947,54.7209868745947,12386.080328951233,0.13812201875114405,1.43700027116363,0.07010554999578744,0.04447810008423403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,0,mild,0.0,0.0,0.008747583205285445,0.0,0.0,0.0,0.4377716106363724,2.34523643413054,0.7319542027102754,0.02047640081767287,20.47640081767287,355.59950507805144,0.3505740359190105,1.903789185773583,0.5781261430238374,0.04563205310842022,0.45473281800514087,0.04952594405040145,3.0,0.0,4.8149984822422045,0.45473281800514087,1.8594104051589966,0.0
L05_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,0,mild,1.0,0.0,-0.0032471459930777935,0.0,0.0,0.0,0.43216188213556034,2.490929113605148,0.7154248160363823,0.028318027252013177,28.31802725201318,499.6546367865156,0.3233771802109543,1.8520286901228984,0.5749879089999013,0.04581758694257587,0.45200783701147884,0.04885707801440731,3.0,0.0,4.802278417973504,0.45200783701147884,1.6908299922943115,0.0
L05_NO_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,0,mild,0.0,0.0,0.008098599502931965,0.0,0.024134677314758157,0.0,0.4559908728401429,2.7955895885184994,0.7665710537616148,0.026472895270293062,26.472895270293062,3283.1954926601074,0.17406657831880895,1.6421652990067976,0.5743733230046928,0.04569740203442052,0.45165049500064924,0.048804195947013795,3.0,0.0,4.802278417973504,0.45165049500064924,0.9355307817459106,0.0
PLAIN_FM,ood_shifted_000,SHIFTED_OBSTACLE,0,1,mild,1.0,0.0,-0.00028288656773288456,0.0,0.2275168464660644,0.0,0.448154549978916,3.1815735877522284,0.8986559665992776,0.047675735956651616,47.675735956651614,10510.871320750486,0.1331795841682959,1.3733572617495895,0.06892426899867132,0.04369832994416356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,1,mild,0.0,0.0,0.002058406461773424,1.1642945185741382e-07,0.004477065467834329,0.0,0.4043536455089277,2.5421357301302696,0.7402436225423016,0.03807029294148426,38.070292941484254,869.9156729179421,0.31234103246715894,1.8749101585491244,0.6612706979503855,0.044549484038725495,0.5399506980320439,0.05705557396868244,3.0,0.0,4.1826924038803455,0.5399506980320439,1.5196408033370972,0.0
L05_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,1,mild,0.0,0.0,0.0006631270925838151,1.1642945185741382e-07,0.004316728973388528,0.0,0.40513232684263,2.5547682529277504,0.743778799321906,0.03812421247028485,38.12421247028485,876.4824848354529,0.3096118067375046,1.867198931719695,0.6659138819668442,0.045603900973219424,0.5422577619901858,0.057288421026896685,3.0,0.0,4.37626319257631,0.5422577619901858,1.501391887664795,0.0
L05_NO_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,1,mild,0.0,0.0,0.008019106533573211,0.0,0.07202382545471187,0.0,0.4340385346682504,2.798530504486944,0.787438178903115,0.029428827136305347,29.428827136305348,3352.503681477791,0.18709505403212728,1.6179864894191531,0.6723474629689008,0.045159486995544285,0.5493022269802168,0.05717022804310545,3.0,0.0,4.376263193735083,0.5493022269802168,0.8404300212860107,0.0
PLAIN_FM,ood_shifted_000,SHIFTED_OBSTACLE,0,2,mild,0.0,0.0,0.0023895481219742346,0.0,0.24138332571983323,0.0,0.4507020561450803,3.2000971500175366,0.8754920496473305,0.038110066969049394,38.11006696904939,7002.454474949251,0.15219075423646974,1.4189390159689457,0.06940810201922432,0.04387619410408661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,2,mild,0.0,0.0,0.0006949559715316161,0.0,0.0,0.0,0.4290369409431211,2.3531193682378024,0.7241380424846451,0.022917387792491764,22.917387792491766,414.5462912274051,0.35929315617053426,1.9054496640573098,0.5780724009964615,0.044486760918516666,0.455412944953423,0.04967387893702835,3.0,0.0,4.609222205860279,0.455412944953423,1.8947590589523315,0.0
