method,reference_method,reference_state,method_state,count
L1_REPLACE,PLAIN_FM,safe,safe,99
L1_REPLACE,PLAIN_FM,safe,collision,64
L1_REPLACE,PLAIN_FM,collision,safe,29
L1_REPLACE,PLAIN_FM,collision,collision,0
L1_NO_REPLACE,PLAIN_FM,safe,safe,99
L1_NO_REPLACE,PLAIN_FM,safe,collision,64
L1_NO_REPLACE,PLAIN_FM,collision,safe,29
L1_NO_REPLACE,PLAIN_FM,collision,collision,0
L05_REPLACE,PLAIN_FM,safe,safe,100
L05_REPLACE,PLAIN_FM,safe,collision,63
L05_REPLACE,PLAIN_FM,collision,safe,29
L05_REPLACE,PLAIN_FM,collision,collision,0
L05_NO_REPLACE,PLAIN_FM,safe,safe,163
L05_NO_REPLACE,PLAIN_FM,safe,collision,0
L05_NO_REPLACE,PLAIN_FM,collision,safe,28
L05_NO_REPLACE,PLAIN_FM,collision,collision,1
L1_REPLACE,L1_NO_REPLACE,safe,safe,128
L1_REPLACE,L1_NO_REPLACE,safe,collision,0
L1_REPLACE,L1_NO_REPLACE,collision,safe,0
L1_REPLACE,L1_NO_REPLACE,collision,collision,64
L05_REPLACE,L05_NO_REPLACE,safe,safe,128
L05_REPLACE,L05_NO_REPLACE,safe,collision,63
L05_REPLACE,L05_NO_REPLACE,collision,safe,1
L05_REPLACE,L05_NO_REPLACE,collision,collision,0
L1_NO_REPLACE,L05_NO_REPLACE,safe,safe,127
L1_NO_REPLACE,L05_NO_REPLACE,safe,collision,64
L1_NO_REPLACE,L05_NO_REPLACE,collision,safe,1
L1_NO_REPLACE,L05_NO_REPLACE,collision,collision,0
