method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,final_correction_magnitude,trajectory_distortion_vs_plain
PLAIN_FM,0,0,0.0,0.0,0.07128309431491557,0.0,0.26482270326614366,3.9021146297454834,0.4667795981086212,3.2125233831537368,0.8903069096375384,0.0547209868745947,54.7209868745947,12386.080328951233,0.13812201875114405,1.43700027116363,0.09214533097110689,0.044926579983439296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,0,0.0,0.0,0.1975912467031396,0.0,0.0,0.0,1.1475510492858678,1.4224343351320927,0.46683581385933287,0.011135413292393537,11.135413292393537,201.86305202960497,1.0419398666658408,3.240825998994615,0.4480580069939606,0.04293021804187447,0.36694095202255994,0.03294633800396696,1.0,0.0,5.491189837575335,5.491189837575335,5.491189956665039
CURRENT_STATE_PROJECTION,0,0,0.0,0.0,0.12958814683632813,0.0,0.1443825778007506,0.451357364654541,0.7561090411739493,2.7670593692637575,0.7847899432579796,0.041130724723333456,41.13072472333346,8814.490557410414,0.34022922776630465,1.9145157022720891,7.400729376007803,0.0505213359137997,7.267529043019749,0.8161595557467081,7.0,6.0,17.78232367403615,0.0,1.7104145288467407
POV_ENDPOINT_PROJECTION,0,0,0.0,0.0,0.1190423533774,0.0,8.757091419506073,173.38208228349686,1.3000364317435211,17.243231381408467,7.141527026109152,56.80916224403051,56809.16224403051,16912391.63751676,1.954740838320582,3.1397160482407007,7.457122374966275,0.04894695692928508,7.325614633969963,0.8297304312000051,7.0,3.0,27.709338837456208,2.1440282964762933,8.303975105285645
PLAIN_FM,0,1,0.0,0.0,0.0542539540896924,0.0,0.2275168464660644,0.0,0.448154549978916,3.1815735877522284,0.8986559665992776,0.047675735956651616,47.675735956651614,10510.871320750486,0.1331795841682959,1.3733572617495895,0.07157327700406313,0.04450255003757775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,1,0.0,0.0,0.36039064109568064,0.0,0.0,0.0,1.0518368998650671,1.9536768410670424,0.4493080436261996,0.019835390294137133,19.835390294137135,277.53424593744,0.5816132583080763,2.2266244008569633,0.5351823410019279,0.04326706990832463,0.4534703000099398,0.03843736200360581,1.0,0.0,3.014688000483484,3.014688000483484,3.014688014984131
CURRENT_STATE_PROJECTION,0,1,0.0,0.0,0.020800638523720272,0.0,0.04618541564941392,2.5129330158233643,0.7989744142915538,2.027863460988351,0.5970587477018953,0.0784006542742528,78.4006542742528,21514.99194475157,0.6647857450576659,2.430888145892851,7.661786832031794,0.049279354920145124,7.530778952001128,0.8411789448582567,7.0,6.0,22.813006702380314,0.0,3.3367362022399902
POV_ENDPOINT_PROJECTION,0,1,0.0,0.0,0.06128513450887976,0.0,9.99532059993744,207.219300866127,1.4667877483263505,20.398616509231744,8.334890754293761,77.8040047020943,77804.0047020943,23074075.65976286,2.11225613752993,2.989859884168129,7.789513778989203,0.048054104030597955,7.6593800819828175,0.8633030068012886,7.0,5.0,32.41457153795717,2.981652076173187,8.917344093322754
PLAIN_FM,0,2,0.0,0.0,0.06846092663355709,0.0,0.24138332571983323,0.0,0.4507020561450803,3.2000971500175366,0.8754920496473305,0.038110066969049394,38.11006696904939,7002.454474949251,0.15219075423646974,1.4189390159689457,0.07058830297319219,0.04389381513465196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,2,1.0,0.0,-0.055700463811656456,0.0,0.0,0.0,0.6407587538658921,1.6045079298766056,0.6462775642393218,0.013731564064363738,13.731564064363738,188.21735907551542,0.6574120599299982,2.140502369441289,0.4405764950206503,0.0429331409977749,0.3597257649526,0.029154161049518734,1.0,0.0,3.444922527090865,3.444922527090865,3.444922685623169
CURRENT_STATE_PROJECTION,0,2,0.0,0.0,0.036843217229341,0.0,0.07401840057373033,8.291287422180176,0.6609573871435968,2.2101780328674736,0.696999124259022,0.09832984118127008,98.32984118127008,28312.97903247716,0.5067848770513382,2.1742900796846905,7.038142287987284,0.04962794505991042,6.906453327974305,0.7450686212396249,7.0,6.0,19.841618952614837,0.0,2.7414395809173584
