method,metric,count,mean,std,median,ci95_low,ci95_high,numerator,denominator
PLAIN_FM,collision,192,0.15104166666666666,0.3590256715191452,0.0,0.10416666666666667,0.203125,29,192
PLAIN_FM,success,192,0.0,0.0,0.0,0.0,0.0,0,192
PLAIN_FM,min_clearance,192,0.06607994498726234,0.0464402173933233,0.07224767368832588,0.059374571017523387,0.07264738513591676,,
PLAIN_FM,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,velocity_violation,192,0.14108484804891042,0.11763174054450541,0.1586466596603393,0.12429221857416126,0.15781306540044326,,
PLAIN_FM,acceleration_violation,192,0.8694762855884619,0.8789335434094719,0.7180225849151611,0.7475289085026209,1.0000744252708196,,
PLAIN_FM,terminal_goal_error,192,0.581712007380709,0.2923704976123582,0.4567006790076434,0.5409916817906564,0.6229506885185817,,
PLAIN_FM,trajectory_distortion_vs_plain,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,planning_latency_sec,192,0.0700912870937221,0.001559333564703895,0.06996045098640025,0.06992647466485474,0.0703449976564722,,
PLAIN_FM,projection_solver_latency_sec,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_calls,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ALWAYS,collision,192,0.005208333333333333,0.07216878364870323,0.0,0.0,0.015625,1,192
POV_L05_ALWAYS,success,192,0.0,0.0,0.0,0.0,0.0,0,192
POV_L05_ALWAYS,min_clearance,192,0.04926782551685957,0.024465211111902304,0.04750381475322272,0.04578681425808567,0.05264349167083239,,
POV_L05_ALWAYS,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ALWAYS,velocity_violation,192,0.009376218573997388,0.021341159706592738,0.0,0.00661310052316013,0.012611676154254585,,
POV_L05_ALWAYS,acceleration_violation,192,0.03020822536200285,0.1544487016097118,0.0,0.010816502656477192,0.05455984489526598,,
POV_L05_ALWAYS,terminal_goal_error,192,0.4410422378999857,0.19583868781629704,0.3839450947740999,0.4131819464782678,0.46943398149777027,,
POV_L05_ALWAYS,trajectory_distortion_vs_plain,192,1.9642261074235041,0.37304083959225903,2.0026937127113342,1.9122275464236738,2.016691807921355,,
POV_L05_ALWAYS,planning_latency_sec,192,1.362719397735115,0.2154486753982459,1.3328655775403604,1.333205240496909,1.3950701121412141,,
POV_L05_ALWAYS,projection_solver_latency_sec,192,0.1347829546587794,0.022211280505949307,0.13298497698269784,0.13157422364518728,0.13790849729077764,,
POV_L05_ALWAYS,projection_calls,192,7.0,0.0,7.0,7.0,7.0,,
POV_L05_ALWAYS,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,collision,192,0.3333333333333333,0.472636953013913,0.0,0.265625,0.4010416666666667,64,192
YFLOW_MAIN_PORT,success,192,0.0,0.0,0.0,0.0,0.0,0,192
YFLOW_MAIN_PORT,min_clearance,192,0.014430672268345055,0.03591386149416982,0.028655302483495893,0.009462029967837621,0.019249302910616318,,
YFLOW_MAIN_PORT,joint_limit_violation,192,6.06403395090697e-10,8.402571921434806e-09,0.0,0.0,1.819210185272091e-09,,
YFLOW_MAIN_PORT,velocity_violation,192,0.0004637051769842461,0.001336707714068383,0.0,0.00028862317941150134,0.0006575621540751066,,
YFLOW_MAIN_PORT,acceleration_violation,192,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,terminal_goal_error,192,0.3549407803014697,0.12490775563029714,0.36668464415035806,0.33654289632655743,0.3721878883533834,,
YFLOW_MAIN_PORT,trajectory_distortion_vs_plain,192,1.4683368758608897,0.33836596609404845,1.4905524253845215,1.4190737411923087,1.5141241452423855,,
YFLOW_MAIN_PORT,planning_latency_sec,192,0.4759287427559684,0.0939616983611631,0.4654246485151816,0.46296290197009665,0.4889813733786544,,
YFLOW_MAIN_PORT,projection_solver_latency_sec,192,0.04147321711783055,0.00942254318383494,0.040408184519037604,0.04022306382288055,0.042862984808819726,,
YFLOW_MAIN_PORT,projection_calls,192,3.0,0.0,3.0,3.0,3.0,,
YFLOW_MAIN_PORT,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
GOAL_AWARE_FINAL_PROJECTION,collision,192,0.484375,0.5010623530813233,0.0,0.4166666666666667,0.5572916666666666,93,192
GOAL_AWARE_FINAL_PROJECTION,success,192,0.0,0.0,0.0,0.0,0.0,0,192
GOAL_AWARE_FINAL_PROJECTION,min_clearance,192,-0.0011064739087642318,0.04013674315460036,0.008282915553488965,-0.0068361282414702755,0.004383369745044932,,
GOAL_AWARE_FINAL_PROJECTION,joint_limit_violation,192,1.637289166744882e-08,4.058068830919087e-08,0.0,1.0915261111632546e-08,2.243692561835579e-08,,
GOAL_AWARE_FINAL_PROJECTION,velocity_violation,192,0.0005209072192509772,0.001395740739169483,0.0,0.0003465757429847936,0.0007184729946404432,,
GOAL_AWARE_FINAL_PROJECTION,acceleration_violation,192,0.0,0.0,0.0,0.0,0.0,,
GOAL_AWARE_FINAL_PROJECTION,terminal_goal_error,192,0.3864584904804825,0.11770203088290596,0.3849896737946822,0.36952086404100554,0.40318024038491984,,
GOAL_AWARE_FINAL_PROJECTION,trajectory_distortion_vs_plain,192,3.248640018204848,0.6028261332876821,3.1441116333007812,3.1647569801658393,3.3321230710173646,,
GOAL_AWARE_FINAL_PROJECTION,planning_latency_sec,192,0.1806089111193311,0.024069045798938597,0.17412516448530369,0.17732260411681486,0.1840216321805277,,
GOAL_AWARE_FINAL_PROJECTION,projection_solver_latency_sec,192,0.011153917213960085,0.0023079919129734634,0.010548724996624514,0.01085067294069025,0.011496482474861599,,
GOAL_AWARE_FINAL_PROJECTION,projection_calls,192,1.0,0.0,1.0,1.0,1.0,,
GOAL_AWARE_FINAL_PROJECTION,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
