method,metric,count,mean,std,median,ci95_low,ci95_high,numerator,denominator
POV_L05_ADAPTIVE_NO_LAST,collision,192,0.125,0.3315835399700317,0.0,0.078125,0.171875,24,192
POV_L05_ADAPTIVE_NO_LAST,success,192,0.0,0.0,0.0,0.0,0.0,0,192
POV_L05_ADAPTIVE_NO_LAST,min_clearance,192,0.06651204300850025,0.050077195499788785,0.06484778932625593,0.05978406870352434,0.07333392226990022,,
POV_L05_ADAPTIVE_NO_LAST,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ADAPTIVE_NO_LAST,velocity_violation,192,0.10156206631753588,0.11472243712979377,0.06330466184616079,0.08475005272502693,0.11779815389752069,,
POV_L05_ADAPTIVE_NO_LAST,acceleration_violation,192,1.211386157180338,1.2042491390111463,0.979098379611969,1.0508539658088314,1.3862903653619771,,
POV_L05_ADAPTIVE_NO_LAST,terminal_goal_error,192,0.5775577199550268,0.2795128124433551,0.44573535008692,0.5396389328948543,0.6179425470385981,,
POV_L05_ADAPTIVE_NO_LAST,trajectory_distortion_vs_plain,192,0.5086905461891243,0.1847922991281625,0.47682905197143555,0.48319683936036506,0.5358948981078963,,
POV_L05_ADAPTIVE_NO_LAST,joint_path_length,192,2.35436008488324,0.734051084163543,2.3680298498769528,2.2522433216314806,2.4512882977516512,,
POV_L05_ADAPTIVE_NO_LAST,smoothness,192,0.04719515149762995,0.014827674822785967,0.04372008831903473,0.04515596878477797,0.04932731194477617,,
POV_L05_ADAPTIVE_NO_LAST,acceleration_cost,192,47.19515149762995,14.827674822785966,43.72008831903474,45.07785504183809,49.39932651917476,,
POV_L05_ADAPTIVE_NO_LAST,jerk_cost,192,11349.522691641148,4582.997666595972,10094.955699901388,10719.0671915627,11997.558125727643,,
POV_L05_ADAPTIVE_NO_LAST,planning_latency_sec,192,1.25813892652756,0.2275370015938596,1.2357125575072132,1.2270975405429985,1.2907769625667471,,
POV_L05_ADAPTIVE_NO_LAST,fm_latency_sec,192,0.04821148930598914,0.0005894438011564455,0.0481243530230131,0.048133161214218484,0.04829694083408261,,
POV_L05_ADAPTIVE_NO_LAST,projection_solver_latency_sec,192,0.12334411771068214,0.023515142523531988,0.12206097602029331,0.11999422847475974,0.12659760937557016,,
POV_L05_ADAPTIVE_NO_LAST,projection_calls,192,5.921875,0.3221989645775869,6.0,5.875,5.963541666666667,,
POV_L05_ADAPTIVE_NO_LAST,failed_projection_solves,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ADAPTIVE_NO_LAST,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ADAPTIVE_NO_LAST,trigger_fraction,192,0.8459821428571428,0.046028423511083834,0.8571428571428571,0.8392857142857141,0.8519345238095237,,
POV_L05_ADAPTIVE_NO_LAST,zero_projection_trajectory,192,0.0,0.0,0.0,0.0,0.0,0,192
