method,metric,count,mean,std,median,ci95_low,ci95_high
FLOWMATCH,min_ade,24334,0.2549638139806413,0.1895490282825134,0.22354570031166077,0.2525822026826509,0.25734542527863163
FLOWMATCH,min_fde,24334,0.4061903558050446,0.3980158021287,0.3223622590303421,0.4011894389461326,0.41119127266395655
FLOWMATCH,avg_ade,24334,1.0644356316295227,0.2725841591175612,0.9949886500835419,1.0610107155595758,1.0678605476994696
FLOWMATCH,avg_fde,24334,2.0760787349508734,0.5838483167408868,1.909781575202942,2.0687429033717724,2.0834145665299744
FLOWMATCH,kde_nll,24334,1.2562674577877242,1.1866399650388788,0.9534989595413208,1.2413577788883352,1.2711771366871132
FLOWMATCH,col010_sample_rate,24334,0.0818135134999471,0.09584708278319662,0.05000000074505806,0.08060923143475154,0.08301779556514266
FLOWMATCH,col020_sample_rate,24334,0.22787047333643667,0.20214994149866908,0.20000000298023224,0.225330536366442,0.23041041030643133
FLOWMATCH,apd,24334,1.1461408248450906,0.05101658845362989,1.1480451226234436,1.1454998208550042,1.146781828835177
FLOWMATCH,viol_sample_rate,24334,0.247347336191737,0.0765438959264002,0.25,0.24638559131241844,0.24830908107105554
FLOWMATCH,max_viol,24334,1.8078276498889712,0.8936156454281622,2.182265281677246,1.7965997098858149,1.8190555898921275
FLOWMATCH,latency_s,24334,0.007659746652077588,4.451338504213189e-05,0.00765285911411047,0.007659187358359817,0.00766030594579536
FLOWMATCH,distortion_vs_flowmatch_m,24334,0.0,0.0,0.0,0.0,0.0
FLOWMATCH,dist_to_posthoc_m,24334,0.0024926642948109264,0.0014493924228794483,0.0029476999770849943,0.0024744532314210027,0.00251087535820085
HARDFLOW,min_ade,24334,0.25449383658185276,0.18933946303768964,0.22299852222204208,0.2521148583912925,0.256872814772413
HARDFLOW,min_fde,24334,0.40614035168540463,0.39762031313258167,0.32238027453422546,0.40114440399499707,0.4111362993758122
HARDFLOW,avg_ade,24334,1.0646381657899744,0.27207093234188917,0.9956851303577423,1.0612196982188589,1.06805663336109
HARDFLOW,avg_fde,24334,2.077561350957109,0.5829349101843765,1.9117704629898071,2.070236995983266,2.084885705930952
HARDFLOW,kde_nll,24334,1.2561548160376972,1.188539024066998,0.954763799905777,1.2412212761854038,1.2710883558899906
HARDFLOW,col010_sample_rate,24334,0.08189981250612739,0.0958076710343832,0.05000000074505806,0.08069602563453476,0.08310359937772002
HARDFLOW,col020_sample_rate,24334,0.22757870051221407,0.20255447259222378,0.20000000298023224,0.2250336807632069,0.23012372026122124
HARDFLOW,apd,24334,1.1468905816094255,0.05099438596153637,1.1482099294662476,1.1462498565851902,1.1475313066336608
HARDFLOW,viol_sample_rate,24334,0.0,0.0,0.0,0.0,0.0
HARDFLOW,max_viol,24334,0.0,0.0,0.0,0.0,0.0
HARDFLOW,latency_s,24334,0.05517329351333995,0.009818719079016018,0.053849636914208535,0.05504992505029764,0.055296661976382264
HARDFLOW,distortion_vs_flowmatch_m,24334,0.01055964676931493,0.0016025433385370084,0.01031433092430234,0.01053951142303982,0.01057978211559004
HARDFLOW,dist_to_posthoc_m,24334,0.008731312618940779,0.0020173865990598594,0.008424600586295128,0.008705964925205445,0.008756660312676112
YFLOW,min_ade,24334,0.2547853248054701,0.18940989388667243,0.2234494313597679,0.25240546167813555,0.2571651879328047
YFLOW,min_fde,24334,0.4063040636814509,0.39760461402566755,0.3225070387125015,0.40130831324433835,0.4112998141185634
YFLOW,avg_ade,24334,1.064129423919284,0.2725913456365745,0.9947008192539215,1.0607044175534648,1.0675544302851032
YFLOW,avg_fde,24334,2.076138696116371,0.583753263899772,1.9098834991455078,2.0688040588399916,2.0834733333927504
YFLOW,kde_nll,24334,1.2567972328685015,1.1909571199665137,0.9533287286758423,1.241833310562834,1.271761155174169
YFLOW,col010_sample_rate,24334,0.0817826924440041,0.0958814206402054,0.05000000074505806,0.08057797893672233,0.08298740595128587
YFLOW,col020_sample_rate,24334,0.22783554281959492,0.2027553527235637,0.20000000298023224,0.22528799908829844,0.2303830865508914
YFLOW,apd,24334,1.1454708707100405,0.05116772221910465,1.1473807096481323,1.144827967781792,1.146113773638289
YFLOW,viol_sample_rate,24334,0.0,0.0,0.0,0.0,0.0
YFLOW,max_viol,24334,0.0,0.0,0.0,0.0,0.0
YFLOW,latency_s,24334,0.03608056983211722,0.006449274007020695,0.03524206469673664,0.03599953716221578,0.036161602502018664
YFLOW,distortion_vs_flowmatch_m,24334,0.002600531888273482,0.0015028976195922477,0.003067441168241203,0.002581648552479173,0.0026194152240677907
YFLOW,dist_to_posthoc_m,24334,0.00028833513984547767,0.0001551639949170843,0.00032546670990996063,0.0002863855633866363,0.00029028471630431906
SAFEFLOW,min_ade,24334,0.2547856236146577,0.18941008598470874,0.22345070540905,0.2524057580736845,0.25716548915563087
SAFEFLOW,min_fde,24334,0.40629731531673574,0.39761572745244717,0.3224634379148483,0.40130142524365137,0.4112932053898201
SAFEFLOW,avg_ade,24334,1.064124359755917,0.2725922419018851,0.9946913123130798,1.0606993421288657,1.067549377382968
SAFEFLOW,avg_fde,24334,2.0761302792664433,0.5837555511099619,1.909683644771576,2.0687956132521395,2.083464945280747
SAFEFLOW,kde_nll,24334,1.256813811987156,1.1910127545071356,0.9533460438251495,1.2418491906546893,1.2717784333196225
SAFEFLOW,col010_sample_rate,24334,0.08181967772941465,0.0959066538566245,0.05000000074505806,0.08061464717638565,0.08302470828244364
SAFEFLOW,col020_sample_rate,24334,0.2278355428107157,0.20274977866251725,0.20000000298023224,0.22528806911537183,0.23038301650605955
SAFEFLOW,apd,24334,1.145457925577627,0.05117059941675735,1.1473866701126099,1.1448149864984867,1.1461008646567672
SAFEFLOW,viol_sample_rate,24334,0.0,0.0,0.0,0.0,0.0
SAFEFLOW,max_viol,24334,0.0,0.0,0.0,0.0,0.0
SAFEFLOW,latency_s,24334,0.008275786760496073,0.00015722044945097553,0.008261307672597468,0.008273811345469785,0.00827776217552236
SAFEFLOW,distortion_vs_flowmatch_m,24334,0.002636513818873671,0.0015275652275162895,0.00311165361199528,0.0026173205439873042,0.002655707093760038
SAFEFLOW,dist_to_posthoc_m,24334,0.00042687157114379746,0.0002751384003996255,0.0004403675702633336,0.00042341456200563354,0.0004303285802819614
UNICONFLOW,min_ade,24334,0.25477748268192124,0.1894099544890821,0.2234412580728531,0.2523976187931405,0.257157346570702
UNICONFLOW,min_fde,24334,0.4063025407722156,0.3975997036523277,0.3224959373474121,0.4013068520320726,0.4112982295123586
UNICONFLOW,avg_ade,24334,1.0641195008408282,0.27259387134785557,0.9946528971195221,1.0606944627404093,1.067544538941247
UNICONFLOW,avg_fde,24334,2.076079524493192,0.5837684016239889,1.9097279906272888,2.068744697017077,2.083414351969307
UNICONFLOW,kde_nll,24334,1.2569089609998856,1.1914425622104006,0.9533856511116028,1.2419389392974391,1.271878982702332
UNICONFLOW,col010_sample_rate,24334,0.08182173246705925,0.09590436516781432,0.05000000074505806,0.08061673067053286,0.08302673426358563
UNICONFLOW,col020_sample_rate,24334,0.2278458165104205,0.2027871299460393,0.20000000298023224,0.2252978735104348,0.2303937595104062
UNICONFLOW,apd,24334,1.1454477551548368,0.051173604977613224,1.1473910808563232,1.14480477831197,1.1460907319977036
UNICONFLOW,viol_sample_rate,24334,0.0,0.0,0.0,0.0,0.0
UNICONFLOW,max_viol,24334,0.0,0.0,0.0,0.0,0.0
UNICONFLOW,latency_s,24334,0.008070301778447347,0.0001444495371893723,0.00805582553241402,0.008068486825066277,0.008072116731828416
UNICONFLOW,distortion_vs_flowmatch_m,24334,0.0026914300209240176,0.0015002895624955629,0.0031451405957341194,0.0026725794543731255,0.0027102805874749097
UNICONFLOW,dist_to_posthoc_m,24334,0.00043847811755840714,0.00027079191410477407,0.00042533040686976165,0.0004350757203639718,0.0004418805147528425
GUIDEFLOW,min_ade,24334,0.25523917258847933,0.18916624430162324,0.22367483377456665,0.2528623708253193,0.25761597435163935
GUIDEFLOW,min_fde,24334,0.40615272335217056,0.39792999383815975,0.32320436835289,0.4011528846417253,0.4111525620626158
GUIDEFLOW,avg_ade,24334,1.0634893025849892,0.2726260656069158,0.9942082464694977,1.0600638599759753,1.066914745194003
GUIDEFLOW,avg_fde,24334,2.0745885618918334,0.5840006937369931,1.9086585640907288,2.0672508157538516,2.081926308029815
GUIDEFLOW,kde_nll,24334,1.259199084308826,1.192258556875024,0.9537139236927032,1.244218809944417,1.2741793586732353
GUIDEFLOW,col010_sample_rate,24334,0.08195939992476486,0.0958526794106738,0.05000000074505806,0.08075504754007808,0.08316375230945165
GUIDEFLOW,col020_sample_rate,24334,0.22782732384375665,0.2029823530405978,0.20000000298023224,0.22527692793999274,0.23037771974752055
GUIDEFLOW,apd,24334,1.1438912882931849,0.05112117072507867,1.1458643674850464,1.143248970266717,1.1445336063196527
GUIDEFLOW,viol_sample_rate,24334,0.0,0.0,0.0,0.0,0.0
GUIDEFLOW,max_viol,24334,0.0,0.0,0.0,0.0,0.0
GUIDEFLOW,latency_s,24334,0.009928961333983228,0.0005404469682768206,0.009869198055006564,0.009922170823806123,0.009935751844160333
GUIDEFLOW,distortion_vs_flowmatch_m,24334,0.014472076134066002,0.004707673740401851,0.013729888014495373,0.014412926007742575,0.014531226260389428
GUIDEFLOW,dist_to_posthoc_m,24334,0.012534734053123754,0.004638878462050765,0.011690819170325994,0.012476448313253024,0.012593019792994485
POSTHOC_PROJ,min_ade,24334,0.25479000419291936,0.1894116964193687,0.22345050424337387,0.2524101184174484,0.2571698899683903
POSTHOC_PROJ,min_fde,24334,0.4062976038727254,0.39762463530716935,0.322479784488678,0.40130160187584146,0.41129360586960934
POSTHOC_PROJ,avg_ade,24334,1.064131349290888,0.2725926049944331,0.9946967959403992,1.0607063271017172,1.0675563714800587
POSTHOC_PROJ,avg_fde,24334,2.0761406324908545,0.5837564180940462,1.9099206924438477,2.068805955583226,2.083475309398483
POSTHOC_PROJ,kde_nll,24334,1.256815083113645,1.1908907252211487,0.9533723592758179,1.2418519950326483,1.2717781711946419
POSTHOC_PROJ,col010_sample_rate,24334,0.08186077249225765,0.09590907905716839,0.05000000074505806,0.08065571146750812,0.08306583351700718
POSTHOC_PROJ,col020_sample_rate,24334,0.22782526912723844,0.20271444732964197,0.20000000298023224,0.2252782393566264,0.2303722988978505
POSTHOC_PROJ,apd,24334,1.1454723401773903,0.05116670410677702,1.1473811864852905,1.1448294500413354,1.1461152303134452
POSTHOC_PROJ,viol_sample_rate,24334,0.022185008986967496,0.03237279003832534,0.0,0.021778257218301966,0.022591760755633027
POSTHOC_PROJ,max_viol,24334,9.038919213863174e-07,7.829114748968564e-07,7.152557373046875e-07,8.940549370934643e-07,9.137289056791705e-07
POSTHOC_PROJ,latency_s,24334,0.007762458523432439,6.683326030008162e-05,0.007752394342795015,0.007761618788988773,0.007763298257876104
POSTHOC_PROJ,distortion_vs_flowmatch_m,24334,0.0024926642948109264,0.0014493924228794483,0.0029476999770849943,0.0024744532314210027,0.00251087535820085
POSTHOC_PROJ,dist_to_posthoc_m,24334,0.0,0.0,0.0,0.0,0.0
CONST_VEL,min_ade,24334,0.5242017947348793,0.4521283759997332,0.4352511316537857,0.5185209740090769,0.5298826154606816
CONST_VEL,min_fde,24334,1.1651103564801628,0.9889187089533573,0.9785955548286438,1.152684969806447,1.1775357431538787
CONST_VEL,avg_ade,24334,0.5242017947348793,0.4521283759997332,0.4352511316537857,0.5185209740090769,0.5298826154606816
CONST_VEL,avg_fde,24334,1.1651103564801628,0.9889187089533573,0.9785955548286438,1.152684969806447,1.1775357431538787
CONST_VEL,col010_sample_rate,24334,0.055395742582395005,0.22875577532050814,0.0,0.052521513450648386,0.058269971714141625
CONST_VEL,col020_sample_rate,24334,0.1548450727377332,0.3617643630878679,0.0,0.1502996413939428,0.1593905040815236
CONST_VEL,apd,24334,0.0,0.0,0.0,0.0,0.0
CONST_VEL,viol_sample_rate,24334,8.218952905399852e-05,0.009065657800504591,0.0,-3.171700603631043e-05,0.00019609606414430747
CONST_VEL,max_viol,24334,1.872607751832048e-05,0.002096593681413308,0.0,-7.6168230187737645e-06,4.506897805541473e-05
CONST_VEL,latency_s,24334,0.0,0.0,0.0,0.0,0.0
FLOWMATCH,min_ade|gt_feasible,24255,0.2521367613461934,0.17963953561165683,0.2229890525341034,0.24987598627574972,0.2543975364166371
FLOWMATCH,min_fde|gt_feasible,24255,0.40050450777532265,0.3759389887422926,0.32155749201774597,0.3957732915045697,0.4052357240460756
HARDFLOW,min_ade|gt_feasible,24255,0.25166805533542874,0.17939633300393729,0.22260558605194092,0.24941034098539233,0.25392576968546515
HARDFLOW,min_fde|gt_feasible,24255,0.40046675660109127,0.3755378177074456,0.3216392993927002,0.3957405890935266,0.4051929241086559
YFLOW,min_ade|gt_feasible,24255,0.2519587984782805,0.17949453185678751,0.2229515016078949,0.24969984828938652,0.2542177486671745
YFLOW,min_fde|gt_feasible,24255,0.40063692251954885,0.3755691420061546,0.32179102301597595,0.3959103607936771,0.4053634842454206
SAFEFLOW,min_ade|gt_feasible,24255,0.251959153868364,0.17949512862989978,0.22293159365653992,0.2497001961690421,0.25421811156768587
SAFEFLOW,min_fde|gt_feasible,24255,0.40062913145498286,0.37557873314454454,0.32176339626312256,0.39590244902401966,0.40535581388594605
UNICONFLOW,min_ade|gt_feasible,24255,0.2519509249337062,0.17949432738832155,0.22291558980941772,0.24969197731806095,0.25420987254935146
