method,metric,count,mean,std,median,ci95_low,ci95_high
FLOWMATCH,min_ade,181,0.4027475888393202,0.3137632967411082,0.3064591884613037,0.3570367781714441,0.44845839950719635
FLOWMATCH,min_fde,181,0.5370672158176563,0.503107229675201,0.38725799322128296,0.46377171070222395,0.6103627209330885
FLOWMATCH,avg_ade,181,1.4355639802158209,0.6477757404823031,1.336595892906189,1.3411923486834627,1.529935611748179
FLOWMATCH,avg_fde,181,2.986682232572229,1.279936706303591,2.7357735633850098,2.800213818145211,3.173150646999247
FLOWMATCH,kde_nll,181,2.219729958003701,2.1952925172448907,1.9164873361587524,1.8999073348395075,2.5395525811678943
FLOWMATCH,col010_sample_rate,181,0.014088397999988735,0.0317607890943854,0.0,0.009461306711635423,0.018715489288342047
FLOWMATCH,col020_sample_rate,181,0.04447513896951359,0.07451603752619845,0.0,0.03361922140854112,0.05533105653048606
FLOWMATCH,apd,181,1.5119878939502147,0.47677724430533946,1.2928128242492676,1.442528289938036,1.5814474979623934
FLOWMATCH,viol_sample_rate,181,0.22928177248377826,0.27105562395260213,0.0,0.18979285699987516,0.2687706879676814
FLOWMATCH,max_viol,181,0.3305652075709559,0.39240783790735373,0.0,0.2733970155947795,0.3877333995471323
FLOWMATCH,latency_s,181,0.009414897727373556,0.0,0.009414897727373556,0.009414897727373556,0.009414897727373556
FLOWMATCH,distortion_vs_flowmatch_m,181,0.0,0.0,0.0,0.0,0.0
HARDFLOW,min_ade,181,0.5278719346147052,0.45642667865856573,0.3627645671367645,0.4613771160408673,0.594366753188543
HARDFLOW,min_fde,181,0.7340739756071354,0.8214815995608832,0.3809784948825836,0.6143958926232762,0.8537520585909946
HARDFLOW,avg_ade,181,1.429089660143984,0.6575209880435041,1.2884591817855835,1.3332982858602955,1.5248810344276724
HARDFLOW,avg_fde,181,2.8936181931205875,1.2554565985155308,2.554595708847046,2.7107161791739687,3.0765202070672064
HARDFLOW,kde_nll,181,2.5475012796264638,2.3887623194741345,2.3080620765686035,2.199492882053642,2.8955096771992856
HARDFLOW,col010_sample_rate,181,0.015193370392144714,0.03580178752327257,0.0,0.009977563610262979,0.020409177174026447
HARDFLOW,col020_sample_rate,181,0.049171271409777645,0.08440562476967307,0.0,0.03687458287665761,0.06146795994289768
HARDFLOW,apd,181,1.3598486484743613,0.3115531136392323,1.2958438396453857,1.3144598297741898,1.4052374671745327
HARDFLOW,viol_sample_rate,181,0.0,0.0,0.0,0.0,0.0
HARDFLOW,max_viol,181,0.0,0.0,0.0,0.0,0.0
HARDFLOW,latency_s,181,0.247622129677162,0.0,0.247622129677162,0.247622129677162,0.247622129677162
HARDFLOW,distortion_vs_flowmatch_m,181,0.1361053718372315,0.15753263616130642,0.006464008707553148,0.1131551269221211,0.15905561675234192
YFLOW,min_ade,181,0.5279536778982008,0.4562970296787352,0.3630504012107849,0.4614777473206068,0.5944296084757947
YFLOW,min_fde,181,0.7347269905628173,0.8214313645838216,0.3872581720352173,0.6150562260943779,0.8543977550312567
YFLOW,avg_ade,181,1.4309104391224476,0.6579442948455464,1.2886505126953125,1.3350573951110265,1.5267634831338688
YFLOW,avg_fde,181,2.897449517118338,1.256364546459232,2.5662715435028076,2.714415228182956,3.08048380605372
YFLOW,kde_nll,181,2.5427233560367113,2.378726372857439,2.306208848953247,2.196177051896848,2.8892696601765744
YFLOW,col010_sample_rate,181,0.01546961349018371,0.035876724815882735,0.0,0.010242889419919157,0.020696337560448263
YFLOW,col020_sample_rate,181,0.048066299161693665,0.08222000412344112,0.0,0.03608802419889682,0.06004457412449051
YFLOW,apd,181,1.3630391919151854,0.31299974957941645,1.2928128242492676,1.3174396191139004,1.4086387647164704
YFLOW,viol_sample_rate,181,0.0,0.0,0.0,0.0,0.0
YFLOW,max_viol,181,0.0,0.0,0.0,0.0,0.0
YFLOW,latency_s,181,0.16105979031147383,0.0,0.16105979031147383,0.16105979031147383,0.16105979031147383
YFLOW,distortion_vs_flowmatch_m,181,0.1309075581013307,0.15673289065865273,2.462021711835405e-06,0.10807382463173984,0.15374129157092156
SAFEFLOW,min_ade,181,0.5289496004746105,0.4576831149702987,0.3630502223968506,0.4622717371566665,0.5956274637925545
SAFEFLOW,min_fde,181,0.7361473791218923,0.8237583296551197,0.38725799322128296,0.6161376092283135,0.8561571490154711
SAFEFLOW,avg_ade,181,1.4311003559860735,0.6582155997167096,1.2886505126953125,1.335207786747426,1.5269929252247212
SAFEFLOW,avg_fde,181,2.897186250317821,1.256586427683166,2.56453275680542,2.714119636471516,3.0802528641641262
SAFEFLOW,kde_nll,181,2.5504639935113738,2.3852213894381675,2.3159217834472656,2.2029714586418807,2.897956528380867
SAFEFLOW,col010_sample_rate,181,0.01546961349018371,0.035876724815882735,0.0,0.010242889419919157,0.020696337560448263
SAFEFLOW,col020_sample_rate,181,0.04779005614598153,0.08110747535479891,0.0,0.035973860662952294,0.059606251629010766
SAFEFLOW,apd,181,1.3621940945393474,0.3121545276897263,1.2928128242492676,1.316717658440708,1.4076705306379866
SAFEFLOW,viol_sample_rate,181,0.0,0.0,0.0,0.0,0.0
SAFEFLOW,max_viol,181,0.0,0.0,0.0,0.0,0.0
SAFEFLOW,latency_s,181,0.011900286406319776,1.7395354782192337e-18,0.011900286406319774,0.011900286406319776,0.011900286406319776
SAFEFLOW,distortion_vs_flowmatch_m,181,0.13180913870603975,0.15778953333605608,0.0,0.10882146755835828,0.1547968098537212
UNICONFLOW,min_ade,181,0.5279426285945579,0.45629368613049476,0.3630504012107849,0.4614671851239715,0.5944180720651442
UNICONFLOW,min_fde,181,0.7347272639342929,0.8214318090158427,0.3872586488723755,0.6150564347184845,0.8543980931501013
UNICONFLOW,avg_ade,181,1.43090815570473,0.6579363356197862,1.288650393486023,1.3350562712383085,1.5267600401711516
UNICONFLOW,avg_fde,181,2.8974439360160194,1.2563688787262604,2.5662708282470703,2.7144090159314875,3.080478856100551
UNICONFLOW,kde_nll,181,2.5445031347126283,2.382945408227987,2.305630683898926,2.1973421776511928,2.891664091774064
UNICONFLOW,col010_sample_rate,181,0.01546961349018371,0.035876724815882735,0.0,0.010242889419919157,0.020696337560448263
UNICONFLOW,col020_sample_rate,181,0.048066299161693665,0.08222000412344112,0.0,0.03608802419889682,0.06004457412449051
UNICONFLOW,apd,181,1.3630325688841594,0.3129825163016358,1.2928128242492676,1.3174355067241954,1.4086296310441233
UNICONFLOW,viol_sample_rate,181,0.0,0.0,0.0,0.0,0.0
UNICONFLOW,max_viol,181,0.0,0.0,0.0,0.0,0.0
UNICONFLOW,latency_s,181,0.011357806190766024,0.0,0.011357806190766024,0.011357806190766024,0.011357806190766024
UNICONFLOW,distortion_vs_flowmatch_m,181,0.13092804430669738,0.1567511529187087,2.4905918962758733e-06,0.10809165028783115,0.1537644383255636
GUIDEFLOW,min_ade,181,0.5337034109876959,0.46309793852532677,0.364055871963501,0.46623668556607484,0.6011701364093169
GUIDEFLOW,min_fde,181,0.7428054518030328,0.8345599115289719,0.3819107115268707,0.6212220464043534,0.8643888572017122
GUIDEFLOW,avg_ade,181,1.4316238056230282,0.6588145412863216,1.2890952825546265,1.3356439791909036,1.5276036320551527
GUIDEFLOW,avg_fde,181,2.8951460169165175,1.257035293783155,2.543623924255371,2.7120140097194767,3.0782780241135583
GUIDEFLOW,kde_nll,181,2.6089308488270198,2.416107437716758,2.35811185836792,2.2569386598558348,2.9609230377982048
GUIDEFLOW,col010_sample_rate,181,0.01546961349018371,0.035876724815882735,0.0,0.010242889419919157,0.020696337560448263
GUIDEFLOW,col020_sample_rate,181,0.04696132672837426,0.08285961232862755,0.0,0.034889870026755296,0.05903278342999323
GUIDEFLOW,apd,181,1.3571038091380294,0.3085041749638475,1.2908588647842407,1.3121591770587153,1.4020484412173435
GUIDEFLOW,viol_sample_rate,181,0.0,0.0,0.0,0.0,0.0
GUIDEFLOW,max_viol,181,0.0,0.0,0.0,0.0,0.0
GUIDEFLOW,latency_s,181,0.020913321648348762,0.0,0.020913321648348762,0.020913321648348762,0.020913321648348762
GUIDEFLOW,distortion_vs_flowmatch_m,181,0.14446364350884494,0.16001374935672183,0.01601666957139969,0.12115193599852607,0.1677753510191638
CONST_VEL,min_ade,181,0.9954030632609965,0.9748035717517299,0.7226214408874512,0.853388168690714,1.137417957831279
CONST_VEL,min_fde,181,2.2343811002554816,2.2595357988297304,1.3656505346298218,1.905199152684295,2.563563047826668
CONST_VEL,avg_ade,181,0.9954030632609965,0.9748035717517299,0.7226214408874512,0.853388168690714,1.137417957831279
CONST_VEL,avg_fde,181,2.2343811002554816,2.2595357988297304,1.3656505346298218,1.905199152684295,2.563563047826668
CONST_VEL,col010_sample_rate,181,0.022099447513812154,0.14741480043937907,0.0,0.0006232260994023554,0.043575668928221956
CONST_VEL,col020_sample_rate,181,0.049723756906077346,0.21797663212990545,0.0,0.017967688988634524,0.08147982482352017
CONST_VEL,apd,181,0.0,0.0,0.0,0.0,0.0
CONST_VEL,viol_sample_rate,181,0.4143646408839779,0.49397847419195223,0.0,0.3423990644691368,0.486330217298819
CONST_VEL,max_viol,181,0.1802231066793368,0.2568876178354721,0.0,0.14279826641356164,0.21764794694511197
CONST_VEL,latency_s,181,0.0,0.0,0.0,0.0,0.0
FLOWMATCH,min_ade|gt_feasible,79,0.1642874633964104,0.12876019453965631,0.14939936995506287,0.13589362214491052,0.19268130464791028
FLOWMATCH,min_fde|gt_feasible,79,0.2344313403002069,0.212874388270998,0.19611714780330658,0.1874888701627041,0.2813738104377097
HARDFLOW,min_ade|gt_feasible,79,0.16403610954839218,0.12861275817220003,0.1454881727695465,0.13567478055603588,0.19239743854074848
HARDFLOW,min_fde|gt_feasible,79,0.23338917184243851,0.21366326057046353,0.19387111067771912,0.18627274177175288,0.2805056019131242
YFLOW,min_ade|gt_feasible,79,0.1642874575255415,0.128760209728456,0.14939910173416138,0.1358936129246496,0.1926813021264334
YFLOW,min_fde|gt_feasible,79,0.23443127495437105,0.21287440118559242,0.19611801207065582,0.1874888019689777,0.28137374793976444
SAFEFLOW,min_ade|gt_feasible,79,0.16428746264192123,0.12876019358990276,0.14939936995506287,0.13589362159985835,0.19268130368398412
SAFEFLOW,min_fde|gt_feasible,79,0.23443133879122854,0.21287438692111707,0.19611714780330658,0.18748886895139777,0.2813738086310593
UNICONFLOW,min_ade|gt_feasible,79,0.16428745816214174,0.12876023792101904,0.14939908683300018,0.13589360734430397,0.1926813089799795
UNICONFLOW,min_fde|gt_feasible,79,0.234431361732415,0.21287435328119592,0.19611825048923492,0.1874888993107664,0.2813738241540636
GUIDEFLOW,min_ade|gt_feasible,79,0.16503030872797664,0.1286076072169723,0.14620772004127502,0.1366701156099917,0.19339050184596157
GUIDEFLOW,min_fde|gt_feasible,79,0.23416957426580448,0.2130073140163983,0.20863136649131775,0.1871977917113189,0.28114135682029007
CONST_VEL,min_ade|gt_feasible,79,0.4523019742285479,0.5524154940965641,0.2768322229385376,0.33048484044489324,0.5741191080122026
CONST_VEL,min_fde|gt_feasible,79,0.8501383262344554,1.0977021532423066,0.5852389335632324,0.6080760895935162,1.0922005628753946
FLOWMATCH,min_ade|gt_infeasible,102,0.5874372938392209,0.2893473697424246,0.5513540208339691,0.5312839627446448,0.643590624933797
FLOWMATCH,min_fde|gt_infeasible,102,0.7714616684243083,0.537568627680683,0.6457580626010895,0.6671363062719516,0.875787030576665
HARDFLOW,min_ade|gt_infeasible,102,0.8096663481464573,0.4180455475574057,0.7462748885154724,0.7285367008802618,0.8907959954126529
HARDFLOW,min_fde|gt_infeasible,102,1.1218592647974397,0.9052447495878332,0.8537365794181824,0.9461793953364418,1.2975391342584375
YFLOW,min_ade|gt_infeasible,102,0.8096167309319272,0.4179630847861654,0.7435438632965088,0.7285030871265565,0.8907303747372979
YFLOW,min_fde|gt_infeasible,102,1.122210927161516,0.9056055444775346,0.8631810545921326,0.946461038626501,1.2979608156965308
SAFEFLOW,min_ade|gt_infeasible,102,0.8113840013450268,0.41945693889172037,0.7435438632965088,0.7299804468891086,0.8927875558009449
SAFEFLOW,min_fde|gt_infeasible,102,1.1247313711427005,0.9082779120335566,0.8631806075572968,0.9484628591264586,1.3009998831589424
UNICONFLOW,min_ade|gt_infeasible,102,0.8095971233412331,0.4179699172357723,0.743543952703476,0.728482153569757,0.8907120931127093
UNICONFLOW,min_fde|gt_infeasible,102,1.1222113450514335,0.9056061285343087,0.8631811738014221,0.9464613431691522,1.2979613469337148
GUIDEFLOW,min_ade|gt_infeasible,102,0.8192443431300276,0.4251794534554973,0.7442509531974792,0.7367302264620549,0.9017584597980003
GUIDEFLOW,min_fde|gt_infeasible,102,1.1367489255818666,0.9204043678786946,0.8621647953987122,0.9581270453954492,1.315370805768284
CONST_VEL,min_ade|gt_infeasible,102,1.4160401812371086,1.0239299259800736,1.1643696427345276,1.2173272079607749,1.6147531545134424
CONST_VEL,min_fde|gt_infeasible,102,3.3064906997423544,2.3470845819464023,2.969775915145874,2.850994533475712,3.761986866008997
