t,dt,delta,mean_abs_change_m,path
0.0,0.05,0.1,0.02048798747605135,sampler
0.0,0.05,0.5,0.10860901531263845,sampler
0.0,0.05,1.0,0.2797139112626956,sampler
0.05,0.05,0.1,0.018353576691951673,sampler
0.05,0.05,0.5,0.09681970758796621,sampler
0.05,0.05,1.0,0.29037374628833934,sampler
0.1,0.05,0.1,0.017755947992331295,sampler
0.1,0.05,0.5,0.09423215247545969,sampler
0.1,0.05,1.0,0.31540207356183014,sampler
0.15000000000000002,0.05,0.1,0.018158370482769665,sampler
0.15000000000000002,0.05,0.5,0.09845527831588985,sampler
0.15000000000000002,0.05,1.0,0.38094483103785937,sampler
0.2,0.05,0.1,0.018097904686602134,sampler
0.2,0.05,0.5,0.09896476170456747,sampler
0.2,0.05,1.0,0.42595491296284926,sampler
0.25,0.05,0.1,0.018800288394818787,sampler
0.25,0.05,0.5,0.10303771192435862,sampler
0.25,0.05,1.0,0.5330245618709917,sampler
0.30000000000000004,0.05,0.1,0.0189786805030967,sampler
0.30000000000000004,0.05,0.5,0.108556758792967,sampler
0.30000000000000004,0.05,1.0,0.6309146000109767,sampler
0.35000000000000003,0.05,0.1,0.020247129734397573,sampler
0.35000000000000003,0.05,0.5,0.11579519719058906,sampler
0.35000000000000003,0.05,1.0,0.8204408649245831,sampler
0.4,0.05,0.1,0.02169725036504505,sampler
0.4,0.05,0.5,0.1265188148694718,sampler
0.4,0.05,1.0,1.0208672458568557,sampler
0.45,0.05,0.1,0.023463217108246615,sampler
0.45,0.05,0.5,0.1416564643955276,sampler
0.45,0.05,1.0,1.3513550129530927,sampler
0.5,0.05,0.1,0.02677373657409665,sampler
0.5,0.05,0.5,0.17170258431332908,sampler
0.5,0.05,1.0,1.8249982075084503,sampler
0.55,0.05,0.1,0.03252091072893648,sampler
0.55,0.05,0.5,0.22392772532360494,sampler
0.55,0.05,1.0,2.357448018375532,sampler
0.6000000000000001,0.05,0.1,0.04094250143383549,sampler
0.6000000000000001,0.05,0.5,0.3040921787454698,sampler
0.6000000000000001,0.05,1.0,3.1941187400504134,sampler
0.65,0.05,0.1,0.05285907393696332,sampler
0.65,0.05,0.5,0.4537346273163889,sampler
0.65,0.05,1.0,4.156239192350135,sampler
0.7000000000000001,0.05,0.1,0.06628287402430211,sampler
0.7000000000000001,0.05,0.5,0.6788895499806813,sampler
0.7000000000000001,0.05,1.0,5.337296218254437,sampler
0.75,0.05,0.1,0.08690279551198166,sampler
0.75,0.05,0.5,1.1218090223181676,sampler
0.75,0.05,1.0,6.517540050686179,sampler
0.8,0.05,0.1,0.11392641671723047,sampler
0.8,0.05,0.5,1.8552781382277317,sampler
0.8,0.05,1.0,7.726528221711106,sampler
0.8500000000000001,0.05,0.1,0.14219065295546396,sampler
0.8500000000000001,0.05,0.5,2.9276433003148483,sampler
0.8500000000000001,0.05,1.0,8.7857960190167,sampler
0.9,0.05,0.1,0.18437791936071202,sampler
0.9,0.05,0.5,3.9115451751333197,sampler
0.9,0.05,1.0,9.790671779879432,sampler
0.9500000000000001,0.05,0.1,0.3364206145346049,sampler
0.9500000000000001,0.05,0.5,4.817934013847207,sampler
0.9500000000000001,0.05,1.0,10.724745118598094,sampler
0.9,,0.1,0.188118980574985,analytic
0.9,,0.5,3.928499481198955,analytic
0.9,,1.0,9.776287165187085,analytic
0.95,,0.1,0.3329802758021083,analytic
0.95,,0.5,4.83653478920111,analytic
0.95,,1.0,10.73799720227683,analytic
0.98,,0.1,0.7502060518243603,analytic
0.98,,0.5,5.490461703798388,analytic
0.98,,1.0,11.355537739588186,analytic
0.99,,0.1,0.9621645061721917,analytic
0.99,,0.5,5.685673958897084,analytic
0.99,,1.0,11.698415181007391,analytic
0.999,,0.1,1.1637752503628906,analytic
0.999,,0.5,5.925383029414633,analytic
0.999,,1.0,11.86154603435142,analytic
