t,dt,delta,mean_abs_change_m,path
0.0,0.05,0.1,0.01818125038824489,sampler
0.0,0.05,0.5,0.09607250653351662,sampler
0.0,0.05,1.0,0.30041601390593087,sampler
0.05,0.05,0.1,0.016822565408433215,sampler
0.05,0.05,0.5,0.09067550939826807,sampler
0.05,0.05,1.0,0.33667252772990874,sampler
0.1,0.05,0.1,0.01691312046796789,sampler
0.1,0.05,0.5,0.09178383906701004,sampler
0.1,0.05,1.0,0.38368440913443713,sampler
0.15000000000000002,0.05,0.1,0.016941201055067218,sampler
0.15000000000000002,0.05,0.5,0.09332379768849153,sampler
0.15000000000000002,0.05,1.0,0.4663557789291328,sampler
0.2,0.05,0.1,0.0162854687979265,sampler
0.2,0.05,0.5,0.0900249015858634,sampler
0.2,0.05,1.0,0.5104616250688743,sampler
0.25,0.05,0.1,0.0173131287902846,sampler
0.25,0.05,0.5,0.09483114901953527,sampler
0.25,0.05,1.0,0.6223180843188825,sampler
0.30000000000000004,0.05,0.1,0.017849369116903768,sampler
0.30000000000000004,0.05,0.5,0.10136336424247716,sampler
0.30000000000000004,0.05,1.0,0.725223758372664,sampler
0.35000000000000003,0.05,0.1,0.019566029376536787,sampler
0.35000000000000003,0.05,0.5,0.1163836575757593,sampler
0.35000000000000003,0.05,1.0,0.9566970175375555,sampler
0.4,0.05,0.1,0.022304593191038724,sampler
0.4,0.05,0.5,0.13295755703836676,sampler
0.4,0.05,1.0,1.188942174089096,sampler
0.45,0.05,0.1,0.024293149549704796,sampler
0.45,0.05,0.5,0.15170385866762004,sampler
0.45,0.05,1.0,1.5319993666219744,sampler
0.5,0.05,0.1,0.029531151892713825,sampler
0.5,0.05,0.5,0.19959552701886318,sampler
0.5,0.05,1.0,2.0361516003184477,sampler
0.55,0.05,0.1,0.03541458677879944,sampler
0.55,0.05,0.5,0.2511683454391944,sampler
0.55,0.05,1.0,2.5634616041640967,sampler
0.6000000000000001,0.05,0.1,0.04438581892937832,sampler
0.6000000000000001,0.05,0.5,0.3410848094433039,sampler
0.6000000000000001,0.05,1.0,3.386962975757015,sampler
0.65,0.05,0.1,0.05810891399038676,sampler
0.65,0.05,0.5,0.4967618253491368,sampler
0.65,0.05,1.0,4.28324134467033,sampler
0.7000000000000001,0.05,0.1,0.07551317237907251,sampler
0.7000000000000001,0.05,0.5,0.7276632680778672,sampler
0.7000000000000001,0.05,1.0,5.348070536778522,sampler
0.75,0.05,0.1,0.098312350724028,sampler
0.75,0.05,0.5,1.1514713502731588,sampler
0.75,0.05,1.0,6.4394910140144646,sampler
0.8,0.05,0.1,0.1313423161472571,sampler
0.8,0.05,0.5,1.7741905864676788,sampler
0.8,0.05,1.0,7.571889088169925,sampler
0.8500000000000001,0.05,0.1,0.17067348797380477,sampler
0.8500000000000001,0.05,0.5,2.768139714133291,sampler
0.8500000000000001,0.05,1.0,8.646336308396698,sampler
0.9,0.05,0.1,0.22739076276085735,sampler
0.9,0.05,0.5,3.816122365989081,sampler
0.9,0.05,1.0,9.736542228147016,sampler
0.9500000000000001,0.05,0.1,0.3767399843724428,sampler
0.9500000000000001,0.05,0.5,4.8166560979831985,sampler
0.9500000000000001,0.05,1.0,10.73098139327044,sampler
0.9,,0.1,0.22674478661562247,analytic
0.9,,0.5,3.8280328925755214,analytic
0.9,,1.0,9.725112829246427,analytic
0.95,,0.1,0.3722428830442359,analytic
0.95,,0.5,4.835009096821636,analytic
0.95,,1.0,10.743932524651854,analytic
0.98,,0.1,0.7638312852382878,analytic
0.98,,0.5,5.50321710304658,analytic
0.98,,1.0,11.370294584753537,analytic
0.99,,0.1,0.970262428196893,analytic
0.99,,0.5,5.694557708666181,analytic
0.99,,1.0,11.707467509318974,analytic
0.999,,0.1,1.165867491099073,analytic
0.999,,0.5,5.926726566456253,analytic
0.999,,1.0,11.862812070519482,analytic
