method,metric,count,mean,std,median,ci95_low,ci95_high
FLOWMATCH,min_ade,500,0.1669242113106884,0.13200052543582688,0.14136113971471786,0.1553538551114326,0.17849456750994422
FLOWMATCH,min_fde,500,0.2912929605427198,0.26751609343428534,0.25298456847667694,0.26784414107894533,0.3147417800064943
FLOWMATCH,avg_ade,500,0.8388144354820252,0.3048773695014158,0.7603754103183746,0.8120907557801709,0.8655381151838795
FLOWMATCH,avg_fde,500,1.8524159824848174,0.6738772651191122,1.6768322587013245,1.7933480358515366,1.9114839291180983
FLOWMATCH,kde_nll,500,0.37724987749196587,1.211235318569948,0.138160839676857,0.271080420736382,0.48341933424754974
FLOWMATCH,col010_sample_rate,500,0.024500000432133674,0.046680920050346485,0.0,0.020408237381129214,0.028591763483138133
FLOWMATCH,col020_sample_rate,500,0.06630000107735395,0.1012908186277278,0.0,0.05742146936418446,0.07517853279052344
FLOWMATCH,apd,500,1.008552325129509,0.17878555508335983,0.9807663559913635,0.9928810802707011,1.0242235699883169
FLOWMATCH,viol_sample_rate,500,0.0036000000834465026,0.04062438631142575,0.0,3.911562145335378e-05,0.007160884545439651
FLOWMATCH,max_viol,500,0.007984519481658936,0.08934142591560333,0.0,0.00015339822074015783,0.015815640742577713
FLOWMATCH,latency_s,500,0.00799070111848414,0.0,0.00799070111848414,0.00799070111848414,0.00799070111848414
FLOWMATCH,distortion_vs_flowmatch_m,500,0.0,0.0,0.0,0.0,0.0
GUIDEFLOW,min_ade,500,0.16753424258064478,0.13122669207062732,0.14222698658704758,0.15603171586649645,0.17903676929479312
GUIDEFLOW,min_fde,500,0.2905042779720388,0.26784358083275256,0.2540057450532913,0.26702675297214223,0.3139818029719354
GUIDEFLOW,avg_ade,500,0.8382056286334991,0.3035426227027643,0.7595622837543488,0.8115989446469666,0.8648123126200317
GUIDEFLOW,avg_fde,500,1.8502697763442992,0.6712868468790925,1.6761290431022644,1.791428889880992,1.9091106628076064
GUIDEFLOW,kde_nll,500,0.395580886892858,1.212481662790715,0.15711508691310883,0.289302183249555,0.501859590536161
GUIDEFLOW,col010_sample_rate,500,0.025000000491738318,0.048370233307812156,0.0,0.020760162604997655,0.02923983837847898
GUIDEFLOW,col020_sample_rate,500,0.06610000125318766,0.10087686917460535,0.0,0.05725775380938225,0.07494224869699306
GUIDEFLOW,apd,500,1.0062897901535035,0.17346690140636326,0.9797171354293823,0.991084745844581,1.0214948344624262
GUIDEFLOW,viol_sample_rate,500,0.0,0.0,0.0,0.0,0.0
GUIDEFLOW,max_viol,500,0.0,0.0,0.0,0.0,0.0
GUIDEFLOW,latency_s,500,0.012207930525764825,1.7364608058824095e-18,0.012207930525764823,0.012207930525764825,0.012207930525764825
GUIDEFLOW,distortion_vs_flowmatch_m,500,0.012470726518891752,0.009201418032101744,0.010973126627504826,0.011664186667492216,0.013277266370291288
CONST_VEL,min_ade,500,0.44712916576612044,0.4287887335122122,0.31696444749832153,0.409544176126242,0.4847141554059989
CONST_VEL,min_fde,500,1.0210359621784884,0.9615139032306568,0.7581197917461395,0.9367555525802401,1.1053163717767365
CONST_VEL,avg_ade,500,0.44712916576612044,0.4287887335122122,0.31696444749832153,0.409544176126242,0.4847141554059989
CONST_VEL,avg_fde,500,1.0210359621784884,0.9615139032306568,0.7581197917461395,0.9367555525802401,1.1053163717767365
CONST_VEL,col010_sample_rate,500,0.012,0.1089943095718216,0.0,0.002446227533760635,0.021553772466239365
CONST_VEL,col020_sample_rate,500,0.032,0.1761762644407714,0.0,0.016557469550187484,0.04744253044981252
CONST_VEL,apd,500,0.0,0.0,0.0,0.0,0.0
CONST_VEL,viol_sample_rate,500,0.0,0.0,0.0,0.0,0.0
CONST_VEL,max_viol,500,0.0,0.0,0.0,0.0,0.0
CONST_VEL,latency_s,500,0.0,0.0,0.0,0.0,0.0
FLOWMATCH,min_ade|gt_feasible,490,0.15682400190033854,0.10556655583247782,0.13990900665521622,0.1474767405875796,0.1661712632130975
FLOWMATCH,min_fde|gt_feasible,490,0.2714510930621312,0.21418447481092506,0.2485380694270134,0.25248639122634564,0.2904157948979168
GUIDEFLOW,min_ade|gt_feasible,490,0.15743921619117715,0.10452436043572368,0.1409049704670906,0.1481842347925974,0.1666941975897569
GUIDEFLOW,min_fde|gt_feasible,490,0.2705261169928031,0.21387822219200672,0.25002889335155487,0.2515885319198424,0.28946370206576383
CONST_VEL,min_ade|gt_feasible,490,0.41744226241342924,0.37170935782598985,0.3119869977235794,0.3845297128602267,0.4503548119666318
CONST_VEL,min_fde|gt_feasible,490,0.952938068718103,0.8390791397531157,0.7417625784873962,0.8786428345929749,1.0272333028432312
FLOWMATCH,min_ade|gt_infeasible,10,0.6618344724178314,0.2878531647951277,0.5440297573804855,0.4834212324595132,0.8402477123761497
FLOWMATCH,min_fde|gt_infeasible,10,1.2635444670915603,0.6352910745202995,1.3690616488456726,0.8697869796502183,1.6573019545329024
GUIDEFLOW,min_ade|gt_infeasible,10,0.6621905356645584,0.2893912276773779,0.5447832942008972,0.48282399445531526,0.8415570768738017
GUIDEFLOW,min_fde|gt_infeasible,10,1.2694341659545898,0.6369177635136852,1.3734819889068604,0.874668446229538,1.6641998856796416
CONST_VEL,min_ade|gt_infeasible,10,1.901787430047989,0.5364287806095696,1.9451717734336853,1.5693054272061597,2.234269432889818
CONST_VEL,min_fde|gt_infeasible,10,4.357832741737366,0.6176351598534541,4.547886848449707,3.9750185035821017,4.74064697989263
