t,dt,delta,mean_abs_change_m,train_drop_prob
0.0,0.001,0.1,0.0003707261410411519,4.5397868702434395e-05
0.0,0.001,0.5,0.003395580221253365,4.5397868702434395e-05
0.0,0.001,1.0,0.006243120523917178,4.5397868702434395e-05
0.001,0.001,0.1,0.00057126727506318,4.631492400926818e-05
0.001,0.001,0.5,0.003223946955054277,4.631492400926818e-05
0.001,0.001,1.0,0.005364682086215003,4.631492400926818e-05
0.002,0.001,0.1,0.0006208823315794268,4.7250503328810105e-05
0.002,0.001,0.5,0.0037042644858602605,4.7250503328810105e-05
0.002,0.001,1.0,0.006206200324892289,4.7250503328810105e-05
0.003,0.001,0.1,0.0008798436409947295,4.82049808002046e-05
0.003,0.001,0.5,0.0036575840316203923,4.82049808002046e-05
0.003,0.001,1.0,0.004775546617876644,4.82049808002046e-05
0.004,0.001,0.1,0.0004333492546916562,4.917873811782143e-05
0.004,0.001,0.5,0.0028099842437972686,4.917873811782143e-05
0.004,0.001,1.0,0.006573345576487422,4.917873811782143e-05
0.005,0.001,0.1,0.000870930416276899,5.0172164683764205e-05
0.005,0.001,0.5,0.002664325106334145,5.0172164683764205e-05
0.005,0.001,1.0,0.005628178868973058,5.0172164683764205e-05
0.006,0.001,0.1,0.0005238017327977062,5.1185657763454e-05
0.006,0.001,0.5,0.002773803487342366,5.1185657763454e-05
0.006,0.001,1.0,0.005545039780345748,5.1185657763454e-05
0.007,0.001,0.1,0.0004408843457366033,5.2219622644351106e-05
0.007,0.001,0.5,0.003018977728451201,5.2219622644351106e-05
0.007,0.001,1.0,0.004814836237284556,5.2219622644351106e-05
0.008,0.001,0.1,0.000476667896955928,5.3274472797878686e-05
0.008,0.001,0.5,0.0037626323865033034,5.3274472797878686e-05
0.008,0.001,1.0,0.0056948507897810335,5.3274472797878686e-05
0.009000000000000001,0.001,0.1,0.0005766916263253265,5.435063004461125e-05
0.009000000000000001,0.001,0.5,0.003438143054876573,5.435063004461125e-05
0.009000000000000001,0.001,1.0,0.005418832926822187,5.435063004461125e-05
0.01,0.001,0.1,0.0013322502532103937,5.5448524722794907e-05
0.01,0.001,0.5,0.0031613904450980904,5.5448524722794907e-05
0.01,0.001,1.0,0.006351378562275342,5.5448524722794907e-05
0.011,0.001,0.1,0.00058665735514574,5.656859586026619e-05
0.011,0.001,0.5,0.003157527223662214,5.656859586026619e-05
0.011,0.001,1.0,0.005856742031325329,5.656859586026619e-05
0.012,0.001,0.1,0.000744731987481909,5.771129134983714e-05
0.012,0.001,0.5,0.00337535507205014,5.771129134983714e-05
0.012,0.001,1.0,0.005695936889215172,5.771129134983714e-05
0.013000000000000001,0.001,0.1,0.0008859287119533307,5.8877068128218133e-05
0.013000000000000001,0.001,0.5,0.003011842121461855,5.8877068128218133e-05
