category,method,collision,collision_count,n,goal_error,min_clearance,distortion,latency,id_collision,ood_minus_id_collision,relative_collision_reduction_vs_plain
OVERALL,PLAIN_FM,0.38125,305,800,0.571037659729862,0.04082106252286843,0.0,0.07393634215994098,0.15104166666666666,0.23020833333333332,0.0
OVERALL,L1_REPLACE,0.43875,351,800,0.3811657425182702,0.016924943221557024,1.4032548814366095,0.6798317012555344,0.3333333333333333,0.10541666666666666,-0.15081967213114753
OVERALL,L05_REPLACE,0.45,360,800,0.38633120919749486,0.017149886770540954,1.3627186745870858,0.6836527921321977,0.328125,0.12187500000000001,-0.1803278688524591
OVERALL,L05_NO_REPLACE,0.27375,219,800,0.4760791080021879,0.04126830304259729,0.752299355911091,0.682511704718272,0.005208333333333333,0.2685416666666667,0.2819672131147541
SHIFTED_OBSTACLE,PLAIN_FM,0.2875,46,160,0.5710376597298621,0.09130398342312541,0.0,0.06997513880087354,0.15104166666666666,0.13645833333333332,0.0
SHIFTED_OBSTACLE,L1_REPLACE,0.24375,39,160,0.38991452878518534,0.05954198315658121,1.403785601258278,0.5160278749281133,0.3333333333333333,-0.08958333333333332,0.15217391304347822
SHIFTED_OBSTACLE,L05_REPLACE,0.26875,43,160,0.3984560842372523,0.06076048739446871,1.3691196985542775,0.5163361669816368,0.328125,-0.05937500000000001,0.0652173913043478
SHIFTED_OBSTACLE,L05_NO_REPLACE,0.15,24,160,0.48100697492775096,0.08768723097261585,0.7568101616576314,0.5153588194811164,0.005208333333333333,0.14479166666666665,0.47826086956521735
ENLARGED_OBSTACLE,PLAIN_FM,0.5,80,160,0.5710376597298621,0.009827183412566045,0.0,0.0702121460239141,0.15104166666666666,0.34895833333333337,0.0
ENLARGED_OBSTACLE,L1_REPLACE,0.76875,123,160,0.3519831668894759,-0.009191969913836234,1.3998212661594152,0.6021288660373102,0.3333333333333333,0.43541666666666673,-0.5375000000000001
ENLARGED_OBSTACLE,L05_REPLACE,0.75625,121,160,0.3589009423377152,-0.0061970976897747655,1.3572739522904158,0.6123735749410116,0.328125,0.428125,-0.5125
ENLARGED_OBSTACLE,L05_NO_REPLACE,0.5,80,160,0.46351634682458076,0.012374230043778394,0.7468502150848508,0.6120398923729227,0.005208333333333333,0.4947916666666667,0.0
MULTI_OBSTACLE,PLAIN_FM,0.425,68,160,0.5710376597298621,0.02497045900743162,0.0,0.07947552020705188,0.15104166666666666,0.2739583333333333,0.0
MULTI_OBSTACLE,L1_REPLACE,0.3375,54,160,0.3662981185222896,0.01354742160053116,1.4064837165415587,0.8881893161214975,0.3333333333333333,0.004166666666666707,0.2058823529411764
MULTI_OBSTACLE,L05_REPLACE,0.3375,54,160,0.3771158973381042,0.014791636140689495,1.3501575484871864,0.888944855162481,0.328125,0.009375000000000022,0.2058823529411764
MULTI_OBSTACLE,L05_NO_REPLACE,0.25,40,160,0.47098809081345944,0.03262133285550921,0.7467582253739238,0.8842536612457479,0.005208333333333333,0.24479166666666666,0.4117647058823529
NARROW_PASSAGE,PLAIN_FM,0.54375,87,160,0.5710376597298621,0.015293557743632436,0.0,0.07043081222109322,0.15104166666666666,0.3927083333333333,0.0
NARROW_PASSAGE,L1_REPLACE,0.54375,87,160,0.44658361906191046,0.002938339323208341,1.3670803636569642,0.7413065654593083,0.3333333333333333,0.21041666666666664,0.0
NARROW_PASSAGE,L05_REPLACE,0.5875,94,160,0.44431173176237443,0.0017739797461873556,1.3321339132729917,0.7525517389560263,0.328125,0.259375,-0.08045977011494265
NARROW_PASSAGE,L05_NO_REPLACE,0.46875,75,160,0.5066888893415169,0.018513902401604172,0.7346130181569606,0.7524652153413627,0.005208333333333333,0.4635416666666667,0.13793103448275856
GOAL_NEAR_OBSTACLE,PLAIN_FM,0.15,24,160,0.5710376597298621,0.06271012902758659,0.0,0.07958809354677214,0.15104166666666666,-0.001041666666666663,0.0
GOAL_NEAR_OBSTACLE,L1_REPLACE,0.3,48,160,0.3510492793324895,0.017788941941300634,1.4391034595668315,0.6515058837314427,0.3333333333333333,-0.033333333333333326,-1.0
GOAL_NEAR_OBSTACLE,L05_REPLACE,0.3,48,160,0.3528713903120287,0.014620428261133972,1.4049082603305578,0.6480576246198325,0.328125,-0.02812500000000001,-1.0
GOAL_NEAR_OBSTACLE,L05_NO_REPLACE,0.0,0,160,0.4581952381036311,0.055144818939478826,0.7764651592820883,0.6484409351502108,0.005208333333333333,-0.005208333333333333,1.0
