method,task_id,seed,flow_step,t,lambda_pov,raw_velocity_norm,endpoint_constraint_violation_before_projection,endpoint_goal_error,endpoint_min_clearance,projection_called,projection_solver_success,projection_solver_status,projection_solver_iterations,projection_runtime_sec,projection_total_runtime_sec,correction_norm,normalized_correction_norm,velocity_change_norm,goal_error_before_projection,goal_error_after_projection,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,projection_active,terminal_replacement,x1_raw_collision,x1_raw_min_clearance,x1_raw_goal_error,z_star_collision,z_star_min_clearance,z_star_goal_error,terminal_step,raw_tracking_weight
PLAIN_FM,0,0,0,0.0,0.0,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.05759409375512976,0.45995284070968484,,,,,
PLAIN_FM,0,0,1,0.14285714285714285,0.0,18.458784103393555,12.181367438697816,0.46808386114721884,0.0581863300731217,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0581863300731217,0.46808386114721884,,,,,
PLAIN_FM,0,0,2,0.2857142857142857,0.0,18.479833602905273,9.85798076953888,0.46792016357285443,0.06054826297534378,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.06054826297534378,0.46792016357285443,,,,,
PLAIN_FM,0,0,3,0.42857142857142855,0.0,18.47991180419922,7.733020645046234,0.46563863092290675,0.06250954013200784,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.06250954013200784,0.46563863092290675,,,,,
PLAIN_FM,0,0,4,0.5714285714285714,0.0,18.480724334716797,6.047917168998718,0.4620365789341203,0.06449717460091177,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.06449717460091177,0.4620365789341203,,,,,
PLAIN_FM,0,0,5,0.7142857142857143,0.0,18.489437103271484,4.237767618560791,0.45864082238138,0.06745704706052007,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.06745704706052007,0.45864082238138,,,,,
PLAIN_FM,0,0,6,0.8571428571428571,0.0,18.207656860351562,4.166937333011627,0.4667795981086212,0.07128309431491557,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.07128309431491557,0.4667795981086212,,,,,
L1_REPLACE,0,0,0,0.0,1.0,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.05759409375512976,0.45995284070968484,,,,0.0,0.0
L1_REPLACE,0,0,1,0.14285714285714285,1.0,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.05818631101934783,0.46808386114721884,,,,0.0,0.0
L1_REPLACE,0,0,2,0.2857142857142857,1.0,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.06054823524950449,0.4679200960043897,,,,0.0,0.0
L1_REPLACE,0,0,3,0.42857142857142855,1.0,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.06250951845778517,0.4656385482054256,,,,0.0,0.0
L1_REPLACE,0,0,4,0.5714285714285714,1.0,,,,,1.0,1.0,0.0,2,0.018843017052859068,0.1854951239656657,1.6276600173675018,3.7978732585906982,3.7978732585906982,0.4618434831583095,0.42614647755282375,0.06442436882840998,0.06989974900249259,6.04211972322464,0.0041546480803429375,,1.0,1.0,0.0,0.06442436882840998,0.4618434831583095,0.0,0.06989974900249259,0.42614647755282375,0.0,22.857142857142854
L1_REPLACE,0,0,5,0.7142857142857143,1.0,,,,,1.0,1.0,0.0,1,0.010515068017411977,0.0939162679715082,1.7751978751519935,6.213192462921143,6.213192462921143,0.4627579935003171,0.4600995015760023,0.0647320991070134,0.03539667796591173,4.0013931807518,0.0,,1.0,1.0,0.0,0.0647320991070134,0.4627579935003171,0.0,0.03539667796591173,0.4600995015760023,0.0,35.714285714285715
L1_REPLACE,0,0,6,0.8571428571428571,1.0,,,,,1.0,1.0,0.0,1,0.01042939501348883,0.0936518509988673,1.297436021783104,9.082052230834961,9.082052230834961,0.47355227159894386,0.42710658717561906,0.05474571014437517,0.03621305677759204,2.6625329371929167,0.0003352115245562892,,1.0,1.0,0.0,0.05474571014437517,0.47355227159894386,0.0,0.03621305677759204,0.42710658717561906,1.0,51.42857142857142
L1_NO_REPLACE,0,0,0,0.0,1.0,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.05759409375512976,0.45995284070968484,,,,0.0,0.0
L1_NO_REPLACE,0,0,1,0.14285714285714285,1.0,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0581863300731217,0.46808386114721884,,,,0.0,0.0
L1_NO_REPLACE,0,0,2,0.2857142857142857,1.0,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.06054826297534378,0.46792016357285443,,,,0.0,0.0
L1_NO_REPLACE,0,0,3,0.42857142857142855,1.0,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.06250954013200784,0.46563863092290675,,,,0.0,0.0
L1_NO_REPLACE,0,0,4,0.5714285714285714,1.0,,,,,1.0,1.0,0.0,2,0.01870920299552381,0.18486464698798954,1.6047916353690006,3.744513750076294,3.744513750076294,0.4620365789341203,0.4114957312195791,0.06449717460091177,0.06341605755849467,6.047917168998718,0.004154647448284088,,1.0,0.0,0.0,0.06449717460091177,0.4620365789341203,0.0,0.06341605755849467,0.4114957312195791,0.0,22.857142857142854
L1_NO_REPLACE,0,0,5,0.7142857142857143,1.0,,,,,1.0,1.0,0.0,2,0.018340323003940284,0.1838924009934999,1.6164181182236967,5.657464027404785,5.657463550567627,0.4630770117329475,0.37264998182801545,0.06440654975931769,0.03942759921681699,4.1613389667510985,0.004275702274822546,,1.0,0.0,0.0,0.06440654975931769,0.4630770117329475,0.0,0.03942759921681699,0.37264998182801545,0.0,35.714285714285715
L1_NO_REPLACE,0,0,6,0.8571428571428571,1.0,,,,,1.0,1.0,0.0,1,0.010532477986998856,0.09337480302201584,1.4020544916735527,9.81438159942627,9.81438159942627,0.4608732940659824,0.4309465379946975,0.056107602526158165,0.03354028319987619,2.831459206008911,0.0,,1.0,0.0,0.0,0.056107602526158165,0.4608732940659824,0.0,0.03354028319987619,0.4309465379946975,1.0,51.42857142857142
L05_REPLACE,0,0,0,0.0,0.5,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.05759409375512976,0.45995284070968484,,,,0.0,0.0
L05_REPLACE,0,0,1,0.14285714285714285,0.5,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.0581863300731217,0.46808386114721884,,,,0.0,0.0
L05_REPLACE,0,0,2,0.2857142857142857,0.5,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.06054826297534378,0.46792016357285443,,,,0.0,0.0
L05_REPLACE,0,0,3,0.42857142857142855,0.5,,,,,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.06250954013200784,0.46563863092290675,,,,0.0,0.0
