task_id,method,collision_rate,goal_error,min_clearance
0,L05_NO_REPLACE,0.0,0.42720967019443357,0.041738986546641835
0,L05_REPLACE,0.0,0.4130794983536809,0.03390603203954138
0,L1_NO_REPLACE,0.0,0.41752449836944466,0.03301524454615567
0,L1_REPLACE,0.0,0.41585249849797956,0.033853116199747846
0,PLAIN_FM,0.0,0.44758888589210927,0.06750230004457887
1,L05_NO_REPLACE,0.0,0.3276352494338536,0.03301121816326316
1,L05_REPLACE,0.0,0.2128256922798743,0.02489362079370939
1,L1_NO_REPLACE,0.0,0.1928577563454916,0.0247621925981043
1,L1_REPLACE,0.0,0.1936700584149157,0.023391191192637908
1,PLAIN_FM,0.0,0.4723736604877442,0.025429672812985058
2,L05_NO_REPLACE,0.0,0.3585947367723307,0.06942113878852565
2,L05_REPLACE,0.0,0.33699381585866056,0.06015021015735936
2,L1_NO_REPLACE,0.0,0.3371087051744038,0.056233903376724355
2,L1_REPLACE,0.0,0.34092140562501283,0.05662188219217003
2,PLAIN_FM,0.0,0.39321548424277414,0.07553275739165044
3,L05_NO_REPLACE,0.0,0.7241957001929944,0.10286744210668645
3,L05_REPLACE,1.0,0.5281749197917424,-0.030006745788283648
3,L1_NO_REPLACE,1.0,0.5262108385426214,-0.027028564336668427
3,L1_REPLACE,1.0,0.5267184674162722,-0.026344834089435432
3,PLAIN_FM,0.0,0.914100349003658,0.10621414444073603
4,L05_NO_REPLACE,0.03125,0.22023025273254873,0.020310556678491208
4,L05_REPLACE,0.0,0.20441668914522876,0.03976621048566768
4,L1_NO_REPLACE,0.0,0.19754965609092376,0.038777222680441016
4,L1_REPLACE,0.0,0.20247561614844792,0.037370732839594044
4,PLAIN_FM,0.90625,0.22698927784851253,-0.006954046557986058
5,L05_NO_REPLACE,0.0,0.733081379890508,0.07539453008196413
5,L05_REPLACE,0.96875,0.4324763680078889,-0.056558707477404914
5,L1_NO_REPLACE,1.0,0.4466685975249635,-0.040162735843119295
5,L1_REPLACE,1.0,0.4473761262058632,-0.03950136981769063
5,PLAIN_FM,0.0,1.0360043868094562,0.12875484179160968
