method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
PLAIN_FM,0,0,0.0,0.0,0.07128309431491557,0.0,0.26482270326614366,3.9021146297454834,0.4667795981086212,3.2125233831537368,0.8903069096375384,0.0547209868745947,54.7209868745947,12386.080328951233,0.13812201875114405,1.43700027116363,0.06978273100685328,0.043804695014841855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,0,0.0,0.0,0.03621304935841921,0.0,0.00033484067916855764,0.0,0.42710660202425876,2.4821591158196874,0.7664561145033707,0.027080635940691298,27.080635940691298,472.49263741404013,0.3152667022638966,1.8888853228461016,0.496705244993791,0.04456191702047363,0.3730632429360412,0.039787480083759874,3.0,0.0,4.700293914302599,0.3730632429360412,1.7213491201400757,0.0
L1_NO_REPLACE,0,0,0.0,0.0,0.03354029849217738,0.0,0.0,0.0,0.4309465603069602,2.4110492474868024,0.7497191225720907,0.02298285209765466,22.98285209765466,380.0848254823574,0.328367522214476,1.9000433298122996,0.5857326429686509,0.04502922703977674,0.4621318510035053,0.04758200398646295,3.0,0.0,4.623264245266251,0.4621318510035053,1.7929770946502686,0.0
L05_REPLACE,0,0,0.0,0.0,0.038542077863482196,0.0,0.0,0.0,0.41733558050543057,2.5555636001927917,0.7971120337455486,0.03065617624887397,30.656176248873972,560.0106001353105,0.31229933354453554,1.8651497505348533,0.585674652014859,0.044977604935411364,0.46209257101872936,0.047586534928996116,3.0,0.0,4.768005288139589,0.46209257101872936,1.6882882118225098,0.0
L05_NO_REPLACE,0,0,0.0,0.0,0.0426355492335191,0.0,0.019342165851592874,0.0,0.4320710459588303,2.8152697804061955,0.8155816669082684,0.028199771085189784,28.199771085189788,3374.951250234581,0.16730136770219547,1.6404525735662439,0.5862331350217573,0.04493066592840478,0.4626418650150299,0.047594935924280435,3.0,0.0,4.768005288139589,0.4626418650150299,0.9392443895339966,0.0
PLAIN_FM,0,1,0.0,0.0,0.0542539540896924,0.0,0.2275168464660644,0.0,0.448154549978916,3.1815735877522284,0.8986559665992776,0.047675735956651616,47.675735956651614,10510.871320750486,0.1331795841682959,1.3733572617495895,0.06947930197929963,0.04365720186615363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,1,0.0,0.0,0.02879344919263732,0.0,0.0,0.0,0.4388548347501728,2.338793910501121,0.7393670337936419,0.020592608115666218,20.59260811566622,332.4824322676963,0.36171708303001504,1.8608553333860174,0.5855160760111175,0.044414923060685396,0.46237327600829303,0.047228017007000744,3.0,0.0,4.5891976148137426,0.46237327600829303,1.7703981399536133,0.0
L1_NO_REPLACE,0,1,0.0,0.0,0.030547191184878954,0.0,0.0,0.0,0.4245166442870939,2.382175433159404,0.7440243765299248,0.02130865658285776,21.30865658285776,341.7800742535928,0.34818690920474316,1.8314409317053468,0.5868637509993277,0.045093890046700835,0.46295820199884474,0.04708156205015257,3.0,0.0,4.547997156335723,0.46295820199884474,1.6993449926376343,0.0
L05_REPLACE,0,1,0.0,0.0,0.026213556821673506,0.0,0.0,0.0,0.4376939909292777,2.3429223405516404,0.7576590703703132,0.019226828654998508,19.22682865499851,345.9191309308057,0.3622467122949563,1.9014228775614799,0.49602532404242083,0.04508557892404497,0.3723893939750269,0.03948178194696084,3.0,0.0,5.17392462029959,0.3723893939750269,1.7956868410110474,0.0
L05_NO_REPLACE,0,1,0.0,0.0,0.03209713838407728,0.0,0.0032781180381773467,0.0,0.4429368159317832,2.6848835230598422,0.7826181312219846,0.0220861489989157,22.086148998915704,3071.397458634828,0.2069535261542713,1.6396089025359768,0.49605834495741874,0.04523558297660202,0.37211426603607833,0.039382249931804836,3.0,0.0,5.17392462029959,0.37211426603607833,1.0166810750961304,0.0
PLAIN_FM,0,2,0.0,0.0,0.06846092663355709,0.0,0.24138332571983323,0.0,0.4507020561450803,3.2000971500175366,0.8754920496473305,0.038110066969049394,38.11006696904939,7002.454474949251,0.15219075423646974,1.4189390159689457,0.06966296798782423,0.04369816096732393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,2,0.0,0.0,0.03380213327809391,0.0,0.003077846431732034,0.0,0.40789193037554333,2.465949261121494,0.7849558066653722,0.026558104232000668,26.558104232000666,500.0220582513981,0.3337924572994208,1.8481628146285678,0.5869931030320004,0.04458398587303236,0.46353408705908805,0.048998904065229,3.0,0.0,4.950014771479598,0.46353408705908805,1.7668850421905518,0.0
L1_NO_REPLACE,0,2,0.0,0.0,0.0334123742661622,0.0,0.0,0.0,0.4103928256844211,2.439652496056674,0.7838293619310331,0.025105881422666454,25.105881422666457,473.9701916979033,0.3510350604246246,1.8956704075194313,0.5895583410165273,0.04513833101373166,0.4654967979877256,0.048786097031552345,3.0,0.0,4.720156888988193,0.4654967979877256,1.859863519668579,0.0
L05_REPLACE,0,2,0.0,0.0,0.04772603194221374,0.0,0.003491800689697122,0.0,0.4425097735503709,2.3589195538348497,0.7394955606562795,0.018106868625679597,18.106868625679596,365.21429569710733,0.39773621184327623,1.9605752435689179,0.5868171079782769,0.04522853292291984,0.4628205770277418,0.04793957492802292,3.0,0.0,5.203761511957781,0.4628205770277418,2.1166365146636963,0.0
L05_NO_REPLACE,0,2,0.0,0.0,0.03958284218662177,0.0,0.021853607559203958,0.0,0.4445581716992197,2.7031032197921196,0.7656317691231216,0.018498648023301117,18.49864802330112,1898.9719851905172,0.20475702486354924,1.6785036399605207,0.5860199359594844,0.04510553908767179,0.46201263600960374,0.04799342295154929,3.0,0.0,5.203761511957781,0.46201263600960374,1.1550837755203247,0.0
PLAIN_FM,0,3,0.0,0.0,0.07206453917989504,0.0,0.2089800056457518,2.84456729888916,0.45921352991696374,3.2012565841264995,0.9058163467177829,0.04113670616714238,41.13670616714238,7680.173216384212,0.12849558717346254,1.4480022872149885,0.06974922900553793,0.04382277402328327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,3,0.0,0.0,0.036597800243248976,0.0,0.0,0.0,0.422728214437346,2.4476272900650273,0.779387570544906,0.026261799674291007,26.26179967429101,508.7355618395087,0.33583094574888095,1.891598319585244,0.4935342179960571,0.04447518300730735,0.3702470360440202,0.0387149109155871,3.0,0.0,4.735289555958291,0.3702470360440202,1.7815312147140503,0.0
L1_NO_REPLACE,0,3,0.0,0.0,0.03294450073590642,0.0,0.0,0.0,0.4181519540672603,2.425783144070642,0.7706360488601449,0.025859146043807346,25.859146043807346,483.3509487131626,0.33930584294382443,1.9009255191082028,0.4966037080157548,0.045068087929394096,0.37227998999878764,0.03975215688114986,3.0,0.0,4.881344775172287,0.37227998999878764,1.8137423992156982,0.0
L05_REPLACE,0,3,0.0,0.0,0.0402197463694087,0.0,0.00507072772979722,0.0,0.41737764463913846,2.4821426937946973,0.8048469685739276,0.026983427056576605,26.983427056576602,546.1205405642819,0.33577631517240586,1.8846067054055755,0.5879932679818012,0.045582120888866484,0.4636330970097333,0.04731684800935909,3.0,0.0,5.016717858447409,0.4636330970097333,1.7814847230911255,0.0
L05_NO_REPLACE,0,3,0.0,0.0,0.04258051322639686,0.0,0.04103482928276048,0.0,0.43307947873440944,2.775312181697847,0.8249408939783237,0.022007408708188958,22.007408708188958,1985.6266918143683,0.1736084480367795,1.656656634980974,0.5858994820155203,0.045131179969757795,0.46206063602585346,0.04720092401839793,3.0,0.0,5.016717858447409,0.46206063602585346,0.9831725358963013,0.0
PLAIN_FM,0,4,0.0,0.0,0.07344253612534968,0.0,0.31594977941513047,1.2879979610443115,0.4554710032326637,3.227788364615522,0.8601428529939373,0.04661211657227504,46.61211657227504,10484.056012830557,0.15879118864958097,1.4085414392819284,0.06988878297852352,0.043921698932535946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,4,0.0,0.0,0.04302402641577491,0.0,0.0,0.0,0.4204440124244173,2.5199887865364383,0.7835182148323344,0.028122480643308186,28.12248064330819,513.0354271708278,0.32060494153535146,1.8446328683388864,0.6794291289988905,0.04446670203469694,0.5561464380007237,0.05850527295842767,3.0,0.0,4.637487174461122,0.5561464380007237,1.75496506690979,0.0
L1_NO_REPLACE,0,4,0.0,0.0,0.036287288406599325,0.0,0.0,0.0,0.4241094733495655,2.4444478613692135,0.7687842436104714,0.024217108329343155,24.217108329343155,444.27893303195697,0.33517029371040763,1.8641660940642837,0.680887877009809,0.04525916400598362,0.5569540379801765,0.05834119796054438,3.0,0.0,4.744772512931048,0.5569540379801765,1.836211085319519,0.0
L05_REPLACE,0,4,0.0,0.0,0.038686667994716845,0.0,0.0,0.0,0.41034958608140565,2.575462801896347,0.808674484948681,0.03057034691125137,30.57034691125137,585.5854548879114,0.3180515450072974,1.8133270186828374,0.6801467859768309,0.04515207197982818,0.5561549660051242,0.05835979711264372,3.0,0.0,4.871622702189866,0.5561549660051242,1.7107714414596558,0.0
L05_NO_REPLACE,0,4,0.0,0.0,0.05039165387479384,0.0,0.026020493769645547,0.0,0.42383639642000415,2.8349985773740602,0.8071532775704996,0.024804902919697613,24.80490291969761,2728.561154573139,0.17464721262991212,1.6011587394759943,0.6807211119448766,0.04519482102477923,0.556741762033198,0.058323220000602305,3.0,0.0,4.871622702190894,0.556741762033198,0.9461177587509155,0.0
PLAIN_FM,0,5,0.0,0.0,0.06871894711325184,0.0,0.4044778760910033,0.9894442558288574,0.45396397892630014,3.2318001489384773,0.9142575046786916,0.04543701543915146,45.43701543915146,8801.735405676902,0.1358455085866821,1.385202283025336,0.06961054500425234,0.0436711719376035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,5,0.0,0.0,0.028677306670940546,0.0,0.0043546722412108885,0.0,0.35897881140192167,2.6093430752249396,0.8295178010141221,0.039358332221411794,39.35833222141179,884.2051481823164,0.32960509767186014,1.8286046712928274,0.678430030005984,0.044804891862440854,0.5546953378943726,0.05628379399422556,3.0,0.0,4.777435737229024,0.5546953378943726,1.703499674797058,0.0
L1_NO_REPLACE,0,5,0.0,0.0,0.03429874428496445,0.0,0.0,0.0,0.42389314758539065,2.4354431867174315,0.7597909428489289,0.024821083336150296,24.821083336150295,448.56436813516257,0.33246324178963005,1.8639937659498782,0.49602724000578746,0.045110430859494954,0.3724030199809931,0.03975354792783037,3.0,0.0,4.909683491355505,0.3724030199809931,1.7553421258926392,0.0
L05_REPLACE,0,5,0.0,0.0,0.03421278358458857,0.0,0.0,0.0,0.4318553292382565,2.4359621046400783,0.7669345944078576,0.024509629880525012,24.50962988052502,419.10640510205377,0.3401963491913067,1.9055490033895308,0.5869923790451139,0.045194943028036505,0.4630111290025525,0.04796788503881544,3.0,0.0,4.854354783875385,0.4630111290025525,1.7973464727401733,0.0
L05_NO_REPLACE,0,5,0.0,0.0,0.03913015782530453,0.0,0.0,0.0,0.4409415765007931,2.7709211815262003,0.8052251499709122,0.0229304620847657,22.930462084765704,2389.8147723267275,0.1800197585206112,1.6369769907231988,0.5865794770070352,0.0451213390333578,0.4631092610070482,0.04802429798291996,3.0,0.0,4.854354783875385,0.4631092610070482,0.9877889156341553,0.0
PLAIN_FM,0,6,0.0,0.0,0.06484939355565979,0.0,0.2835099514961241,2.738626003265381,0.44167463901593484,3.2023848000459663,0.910502013088369,0.04454768841918677,44.54768841918678,8511.49543714107,0.14292172461080252,1.4344313955465378,0.06954829400638118,0.043679100985173136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,6,0.0,0.0,0.02992223010665327,0.0,0.0,0.0,0.4111289270457144,2.40529418536965,0.7848518643886239,0.024249890535419063,24.249890535419066,447.495475154779,0.3514286875765641,1.9012396367777258,0.49454948998754844,0.044612536032218486,0.37121549795847386,0.039830440073274076,3.0,0.0,5.071469239040821,0.37121549795847386,1.8031460046768188,0.0
L1_NO_REPLACE,0,6,0.0,0.0,0.030554386056956262,0.0,0.0004958675384520994,0.0,0.40325522006500847,2.427678356136267,0.7946462424770278,0.025529983826535096,25.529983826535098,487.03117625507605,0.349149855611241,1.898477742964001,0.49504653294570744,0.045084689976647496,0.3715059550013393,0.03948015003697947,3.0,0.0,5.098518480245163,0.3715059550013393,1.786683201789856,0.0
L05_REPLACE,0,6,0.0,0.0,0.03276973278837736,0.0,0.0,0.0,0.404336380510559,2.487187067255157,0.8004941820539883,0.027075306182522036,27.075306182522038,508.3366819790956,0.3323456601445814,1.8630820620343571,0.4956896299845539,0.04494256409816444,0.372107612027321,0.03992662392556667,3.0,0.0,5.234827856082209,0.372107612027321,1.6878710985183716,0.0
L05_NO_REPLACE,0,6,0.0,0.0,0.038671398323164116,0.0,0.02870197753906245,0.0,0.4156311593961483,2.77041823288579,0.8246592361741383,0.02573535373514521,25.73535373514521,2707.8562934724605,0.19019516528259134,1.6454927215176292,0.49579116195673123,0.045025733998045325,0.37209839100250974,0.03996122401440516,3.0,0.0,5.234827856082209,0.37209839100250974,0.9534044861793518,0.0
PLAIN_FM,0,7,0.0,0.0,0.06774255636681951,0.0,0.28606490459442124,0.2149057388305664,0.4510840570144335,3.2081582566018483,0.9275421565363855,0.04082554702899832,40.82554702899832,7358.138151546002,0.12441299199805718,1.3904349254506188,0.069499431992881,0.04366941103944555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,7,0.0,0.0,0.02957529470311937,0.0,0.0038768466949461455,0.0,0.44380864889289495,2.3929578311186974,0.7376082349743728,0.021546717223650584,21.54671722365059,368.97789902438916,0.3445985179471036,1.867352230259512,0.5883574220351875,0.044621766021009535,0.46485291502904147,0.04771863803034648,3.0,0.0,4.543754565119873,0.46485291502904147,1.7594813108444214,0.0
L1_NO_REPLACE,0,7,0.0,0.0,0.0341057951897612,0.0,0.0,0.0,0.4274382741615195,2.45961266317048,0.761036488215112,0.02452004177947939,24.52004177947939,411.6223549131104,0.33344349730222234,1.8402139999426552,0.5874177369987592,0.04505932901520282,0.46329903398873284,0.047684416989795864,3.0,0.0,4.483878711384363,0.46329903398873284,1.6971935033798218,0.0
L05_REPLACE,0,7,0.0,0.0,0.037379946480922535,0.0,0.0,0.0,0.4233678171326576,2.5245720571562362,0.7789416225370979,0.027941169752183675,27.941169752183676,483.5279569654106,0.31904150595786573,1.8469185126063286,0.5880194130004384,0.04558425099821761,0.46354271000018343,0.04797605401836336,3.0,0.0,4.485725189115535,0.46354271000018343,1.6357874870300293,0.0
