method,task_id,seed,state,collision,min_clearance,terminal_goal_error,state_json
L1_REPLACE,0,0,x_before_terminal,1.0,-0.04289463576315758,0.594873989185932,"[[1.2549540996551514,-1.1313457489013672,-1.6322276592254639,-0.7631061673164368,-0.6648221015930176,0.7442997694015503,1.0107448101043701],[1.339517593383789,-1.2033720016479492,-1.3198814392089844,-1.0248652696609497,-0.32151010632514954,0.8739572763442993,1.0669941902160645],[1.5657403469085693,-0.8677444458007812,-1.3053998947143555,-0.632817268371582,-0.4251585900783539,0.9848928451538086,1.0273956060409546],[1.1748486757278442,-1.0860099792480469,-1.5027177333831787,-0.826340913772583,-0.6065927743911743,1.1232424974441528,1.225039005279541],[1.3636752367019653,-1.0337830781936646,-1.1872413158416748,-0.9275689125061035,-0.6441517472267151,0.8440627455711365,1.0194616317749023],[1.2467565536499023,-0.9312053322792053,-1.4520645141601562,-0.8821196556091309,-0.2936635911464691,0.9248239398002625,1.2564988136291504],[1.591585397720337,-0.6210235357284546,-1.5629868507385254,-0.9049211740493774,-0.6460062265396118,0.8567395210266113,1.21561598777771],[1.4133045673370361,-0.5567073225975037,-1.6296892166137695,-1.0218175649642944,-0.5070867538452148,1.039111852645874,1.3781113624572754],[1.2945594787597656,-0.5414166450500488,-1.7765426635742188,-1.117616891860962,-0.20663166046142578,1.1038645505905151,1.4471707344055176],[1.245349407196045,-0.3883698582649231,-1.9009143114089966,-1.2047094106674194,-0.30218690633773804,1.0085190534591675,1.4733810424804688],[1.5297434329986572,-0.3296695947647095,-1.9102182388305664,-1.5077977180480957,0.08147959411144257,0.9943788647651672,1.5771899223327637],[1.4671363830566406,-0.11189550906419754,-1.9116071462631226,-1.5588047504425049,0.20272639393806458,0.8161681294441223,1.6366937160491943],[1.5095181465148926,0.1343446969985962,-1.850159764289856,-1.5492489337921143,0.22914862632751465,1.2550185918807983,1.7760438919067383],[1.7900111675262451,0.03373992443084717,-1.7680832147598267,-1.4542491436004639,0.1417081654071808,1.3052300214767456,1.4768829345703125],[1.4487144947052002,0.024068674072623253,-1.816692590713501,-1.6527132987976074,0.4450187683105469,1.4595718383789062,1.5066564083099365],[1.6720890998840332,0.24317945539951324,-1.9403581619262695,-1.5614798069000244,0.35445088148117065,1.0847383737564087,1.746438980102539]]"
L1_REPLACE,0,0,x1_raw,0.0,0.05474571014437517,0.47355227159894386,"[[1.6280609369277954,-1.285905122756958,-1.4705750942230225,-0.9284243583679199,-0.7571885585784912,0.9272559285163879,1.3026283979415894],[1.6192893981933594,-1.2192840576171875,-1.5066536664962769,-0.9189425110816956,-0.7212984561920166,0.9701477289199829,1.2981741428375244],[1.6291183233261108,-1.1487034559249878,-1.5521459579467773,-0.9837968349456787,-0.6981734037399292,1.0086475610733032,1.3106578588485718],[1.6236199140548706,-1.0390387773513794,-1.60285484790802,-1.023908019065857,-0.647652804851532,1.0205974578857422,1.3359473943710327],[1.6263427734375,-0.9233603477478027,-1.6801257133483887,-1.1090129613876343,-0.6144686341285706,1.0856651067733765,1.3595607280731201],[1.598204493522644,-0.8077036142349243,-1.7652568817138672,-1.2186365127563477,-0.5697590112686157,1.1113550662994385,1.3959674835205078],[1.5948057174682617,-0.6795446872711182,-1.884109616279602,-1.3260223865509033,-0.5200608968734741,1.1480021476745605,1.4529633522033691],[1.578487515449524,-0.5578376650810242,-1.9773081541061401,-1.4487125873565674,-0.4452645182609558,1.1807129383087158,1.5116993188858032],[1.5805778503417969,-0.4249025583267212,-2.0766568183898926,-1.5527064800262451,-0.3517976701259613,1.2197537422180176,1.5970066785812378],[1.6008044481277466,-0.28451472520828247,-2.1516358852386475,-1.6672250032424927,-0.2606070041656494,1.2554982900619507,1.6628456115722656],[1.6352269649505615,-0.15696188807487488,-2.2056884765625,-1.7637776136398315,-0.14236758649349213,1.302852988243103,1.7564082145690918],[1.6648564338684082,-0.018520735204219818,-2.245696544647217,-1.8374431133270264,-0.028482019901275635,1.3574376106262207,1.8444067239761353],[1.7234232425689697,0.1272275298833847,-2.255388021469116,-1.880602478981018,0.12705683708190918,1.3702168464660645,1.9344152212142944],[1.7656455039978027,0.2862791121006012,-2.2599334716796875,-1.8832285404205322,0.2579248547554016,1.4281444549560547,2.037393569946289],[1.8079893589019775,0.43090441823005676,-2.211074113845825,-1.893462061882019,0.4420658349990845,1.461686372756958,2.124075412750244],[1.828165888786316,0.566351056098938,-2.222109317779541,-1.8798454999923706,0.5652617812156677,1.4946955442428589,2.230522632598877]]"
L1_REPLACE,0,0,z_star,0.0,0.03621305677759204,0.42710658717561906,"[[1.6160175195260496,-1.2368052307386248,-1.476011754453121,-0.9114414240684908,-0.7484511508718581,0.9647760773031727,1.2710134269671303],[1.615770823472374,-1.2361897409332323,-1.476615124833571,-0.9120258644641817,-0.7478941553046956,0.96508682285769,1.2715745857447043],[1.612747026453634,-1.2276299598046292,-1.484865438735633,-0.9201841587615991,-0.7406116767634818,0.9696058413779821,1.2786327551153074],[1.6060190522251274,-1.1972016241511443,-1.5130670031016669,-0.9483028907361335,-0.7185051740101189,0.9866149175016373,1.2973097281928965],[1.5944803512713286,-1.1321005228213175,-1.5687602626035864,-1.0007092010197653,-0.6744561207899233,1.017007955815375,1.3320886706778194],[1.5806435625715614,-1.032050210661184,-1.6519211222691654,-1.0787583292749565,-0.607642700484288,1.0602557365441263,1.3866074486747457],[1.570551950526912,-0.9087811875502746,-1.7545366460108947,-1.1798812486150148,-0.5187823266597107,1.1155253451908782,1.458914393705605],[1.5702441749967107,-0.7747262154451289,-1.8635537534939097,-1.2924810202386516,-0.4084585918427146,1.1815376103374982,1.544060906844114],[1.5828891479005487,-0.6406470539800136,-1.9657437585435718,-1.410154390564667,-0.28043404085127455,1.2562057743666537,1.6325531520288563],[1.6113189116297517,-0.507193651298258,-2.050298065422573,-1.5275127451581512,-0.14000570088496025,1.3303180337102538,1.7201990292080307],[1.6599441738590404,-0.37100013014580235,-2.1072096123869786,-1.641047542706053,0.001221068627995342,1.3962982401261708,1.8033869228820514],[1.724518305742052,-0.23862591777725897,-2.1295802905166723,-1.7468209045202798,0.13207576633309684,1.453925401538244,1.8788749298619347],[1.7949929825520334,-0.12173684168420923,-2.121467126547395,-1.8346505966226612,0.24227849103007415,1.5042207981062734,1.94318259034465],[1.859771136059428,-0.03146490603082913,-2.0937815912486557,-1.8967520231568384,0.3287589251830376,1.5406436364654872,1.989335281854718],[1.9080390663941074,0.02894443865825802,-2.0588747270965686,-1.9323790363462874,0.39107770173198964,1.5630772749379687,2.0180915179585686],[1.9390001764857003,0.06801370698932768,-2.0286798338341914,-1.9498176484176268,0.43231799021700135,1.5747947196896523,2.033175806207813]]"
L1_REPLACE,0,0,hypothetical_l1_residual,0.0,0.03621305114790835,0.42710660268635803,"[[1.616017460823059,-1.2368052005767822,-1.4760117530822754,-0.911441445350647,-0.7484511733055115,0.9647760987281799,1.2710133790969849],[1.6157708168029785,-1.2361897230148315,-1.476615071296692,-0.9120258688926697,-0.7478941679000854,0.965086817741394,1.27157461643219],[1.612747073173523,-1.2276300191879272,-1.484865427017212,-0.9201841354370117,-0.7406116724014282,0.9696058034896851,1.2786327600479126],[1.6060190200805664,-1.1972016096115112,-1.5130670070648193,-0.9483029246330261,-0.7185052037239075,0.9866149425506592,1.2973097562789917],[1.5944803953170776,-1.1321005821228027,-1.5687602758407593,-1.0007091760635376,-0.6744561195373535,1.0170079469680786,1.3320887088775635],[1.5806435346603394,-1.0320502519607544,-1.651921033859253,-1.0787583589553833,-0.6076427102088928,1.060255765914917,1.3866074085235596],[1.5705519914627075,-0.9087812304496765,-1.7545366287231445,-1.17988121509552,-0.518782377243042,1.115525484085083,1.4589145183563232],[1.5702441930770874,-0.7747262120246887,-1.863553762435913,-1.2924810647964478,-0.4084585905075073,1.1815376281738281,1.5440609455108643],[1.582889199256897,-0.6406470537185669,-1.9657437801361084,-1.4101543426513672,-0.2804340422153473,1.2562057971954346,1.6325531005859375],[1.6113189458847046,-0.5071936249732971,-2.050297975540161,-1.527512788772583,-0.1400057077407837,1.3303180932998657,1.7201989889144897],[1.6599442958831787,-0.37100017070770264,-2.1072096824645996,-1.6410475969314575,0.0012210831046104431,1.3962982892990112,1.803386926651001],[1.7245182991027832,-0.2386259138584137,-2.12958025932312,-1.7468209266662598,0.13207578659057617,1.453925371170044,1.8788748979568481],[1.7949929237365723,-0.12173685431480408,-2.121467113494873,-1.8346506357192993,0.24227848649024963,1.5042208433151245,1.9431825876235962],[1.8597711324691772,-0.031464919447898865,-2.0937817096710205,-1.8967519998550415,0.3287588953971863,1.5406436920166016,1.9893354177474976],[1.9080390930175781,0.028944402933120728,-2.0588748455047607,-1.9323790073394775,0.3910776972770691,1.5630773305892944,2.0180912017822266],[1.939000129699707,0.06801365315914154,-2.028679847717285,-1.9498176574707031,0.4323180019855499,1.5747947692871094,2.0331757068634033]]"
L1_REPLACE,0,0,hypothetical_l05_residual,0.0,0.03497758790267684,0.4451875945244609,"[[1.6220391988754272,-1.2613551616668701,-1.4732933044433594,-0.9199328422546387,-0.7528198957443237,0.9460160136222839,1.286820888519287],[1.617530107498169,-1.2277369499206543,-1.4916343688964844,-0.9154841899871826,-0.7345963716506958,0.9676172733306885,1.284874439239502],[1.620932698249817,-1.1881667375564575,-1.5185056924819946,-0.9519904851913452,-0.7193925380706787,0.9891266822814941,1.2946453094482422],[1.6148195266723633,-1.1181201934814453,-1.557960867881775,-0.9861055016517639,-0.6830790042877197,1.0036062002182007,1.3166285753250122],[1.6104116439819336,-1.0277304649353027,-1.6244429349899292,-1.054861068725586,-0.6444623470306396,1.0513365268707275,1.3458247184753418],[1.5894240140914917,-0.9198769330978394,-1.70858895778656,-1.1486973762512207,-0.5887008905410767,1.0858054161071777,1.3912874460220337],[1.5826787948608398,-0.794162929058075,-1.819323182106018,-1.2529518604278564,-0.5194216370582581,1.1317638158798218,1.4559389352798462],[1.5743658542633057,-0.6662819385528564,-1.9204310178756714,-1.3705967664718628,-0.42686155438423157,1.181125283241272,1.527880072593689],[1.5817334651947021,-0.532774806022644,-2.02120041847229,-1.4814304113388062,-0.3161158561706543,1.237979769706726,1.6147799491882324],[1.6060616970062256,-0.3958542048931122,-2.1009669303894043,-1.5973689556121826,-0.20030635595321655,1.2929081916809082,1.691522240638733],[1.6475856304168701,-0.26398101449012756,-2.15644907951355,-1.7024126052856445,-0.07057325541973114,1.3495756387710571,1.7798975706100464],[1.6946873664855957,-0.12857332825660706,-2.187638521194458,-1.7921321392059326,0.051796868443489075,1.4056816101074219,1.8616408109664917],[1.7592079639434814,0.0027453452348709106,-2.188427448272705,-1.8576265573501587,0.1846676617860794,1.4372187852859497,1.9387989044189453],[1.8127083778381348,0.12740710377693176,-2.1768577098846436,-1.8899903297424316,0.29334187507629395,1.4843940734863281,2.013364553451538],[1.8580142259597778,0.22992441058158875,-2.134974479675293,-1.912920594215393,0.4165717661380768,1.512381911277771,2.0710833072662354],[1.8835830688476562,0.31718236207962036,-2.125394582748413,-1.914831519126892,0.49878990650177,1.534745216369629,2.1318492889404297]]"
L1_NO_REPLACE,0,0,x_before_terminal,1.0,-0.01672751591257432,0.5401738667362751,"[[1.2549540996551514,-1.1313457489013672,-1.6322276592254639,-0.7631061673164368,-0.6648221015930176,0.7442997694015503,1.0107448101043701],[1.3394047021865845,-1.203421950340271,-1.31985342502594,-1.0248606204986572,-0.321479469537735,0.8741506934165955,1.0669745206832886],[1.5644961595535278,-0.8677281141281128,-1.3054488897323608,-0.6330537796020508,-0.4250010550022125,0.9873847365379333,1.0277527570724487],[1.172369360923767,-1.0852364301681519,-1.5039695501327515,-0.8281481862068176,-0.6084708571434021,1.1302629709243774,1.2284106016159058],[1.359194278717041,-1.030609369277954,-1.1959248781204224,-0.9372974038124084,-0.6503217816352844,0.8574609756469727,1.0268640518188477],[1.2357087135314941,-0.9239288568496704,-1.4736521244049072,-0.904909610748291,-0.3044429421424866,0.9448217153549194,1.2664209604263306],[1.5721498727798462,-0.6095882058143616,-1.5968414545059204,-0.9380930662155151,-0.6573654413223267,0.8822609186172485,1.2248615026474],[1.387864112854004,-0.5433804988861084,-1.6734402179718018,-1.0604647397994995,-0.51161789894104,1.068558931350708,1.3826954364776611],[1.266883373260498,-0.5268643498420715,-1.8257626295089722,-1.1583516597747803,-0.1988402158021927,1.1335053443908691,1.4482839107513428],[1.2226299047470093,-0.3724697530269623,-1.9474263191223145,-1.2482903003692627,-0.27859240770339966,1.0339763164520264,1.4783860445022583],[1.5210363864898682,-0.31087252497673035,-1.943090558052063,-1.5557382106781006,0.12149117887020111,1.0095162391662598,1.5980355739593506],[1.4802331924438477,-0.08651228249073029,-1.9212076663970947,-1.612235426902771,0.2574617266654968,0.8107447028160095,1.6812613010406494],[1.5453176498413086,0.16741794347763062,-1.8332817554473877,-1.6092197895050049,0.2945009768009186,1.2176892757415771,1.8416643142700195],[1.8423354625701904,0.06986185163259506,-1.728278636932373,-1.5194743871688843,0.20804142951965332,1.2328518629074097,1.5545284748077393],[1.5076876878738403,0.053643789142370224,-1.7599973678588867,-1.7194775342941284,0.5038198828697205,1.3566768169403076,1.5847712755203247],[1.7260842323303223,0.26029616594314575,-1.8762938976287842,-1.6247475147247314,0.40374451875686646,0.9610409140586853,1.817507028579712]]"
L1_NO_REPLACE,0,0,x1_raw,0.0,0.056107602526158165,0.4608732940659824,"[[1.6291214227676392,-1.2870080471038818,-1.4695355892181396,-0.929929792881012,-0.757607102394104,0.9291821122169495,1.3038920164108276],[1.6172324419021606,-1.2187354564666748,-1.5075569152832031,-0.9225281476974487,-0.7214605808258057,0.9711244106292725,1.3020306825637817],[1.6268092393875122,-1.1475557088851929,-1.555446743965149,-0.9908722639083862,-0.6976817846298218,1.0093365907669067,1.3135370016098022],[1.6200616359710693,-1.0366665124893188,-1.607775330543518,-1.0340884923934937,-0.6446092128753662,1.021507978439331,1.3406429290771484],[1.6219608783721924,-0.9199792146682739,-1.6872881650924683,-1.1217776536941528,-0.6116757988929749,1.0892200469970703,1.364540696144104],[1.59319269657135,-0.8021144270896912,-1.773750901222229,-1.2345370054244995,-0.5643925666809082,1.1159794330596924,1.402630090713501],[1.5886154174804688,-0.6730642914772034,-1.8918602466583252,-1.3409011363983154,-0.5131568908691406,1.1546094417572021,1.459529995918274],[1.5733563899993896,-0.5480588674545288,-1.9861047267913818,-1.4678852558135986,-0.43651720881462097,1.1883386373519897,1.520919919013977],[1.5771355628967285,-0.4153359532356262,-2.0831823348999023,-1.5726473331451416,-0.3428921103477478,1.2235864400863647,1.606758713722229],[1.5988876819610596,-0.2736579179763794,-2.1570472717285156,-1.6893959045410156,-0.2470134049654007,1.25942063331604,1.6751827001571655],[1.6355153322219849,-0.14632809162139893,-2.205719470977783,-1.7870274782180786,-0.12731489539146423,1.300836205482483,1.76984703540802],[1.66885507106781,-0.007097296416759491,-2.2426564693450928,-1.8599504232406616,-0.010759443044662476,1.352668046951294,1.860198974609375],[1.7299672365188599,0.13586336374282837,-2.248417377471924,-1.9035242795944214,0.1452941745519638,1.3636531829833984,1.952970027923584],[1.7720097303390503,0.29771167039871216,-2.254014492034912,-1.9084198474884033,0.27943581342697144,1.418045163154602,2.061589241027832],[1.817685604095459,0.43837523460388184,-2.199126720428467,-1.9173072576522827,0.4628840386867523,1.445810317993164,2.1481285095214844],[1.8392599821090698,0.5733838081359863,-2.2100369930267334,-1.900160312652588,0.5864099264144897,1.473883032798767,2.254514217376709]]"
L1_NO_REPLACE,0,0,z_star,0.0,0.03354028319987619,0.4309465379946975,"[[1.6160175195260496,-1.2368052307386248,-1.476011754453121,-0.9114414240684908,-0.7484511508718581,0.9647760773031727,1.2710134269671303],[1.6157713974405719,-1.2361847264370793,-1.4766464208303653,-0.9120392222504631,-0.7478390065233668,0.9650299976593953,1.2716337760498149],[1.6129262533486417,-1.227703518518858,-1.4848031869726988,-0.9203100698793956,-0.7401963349688457,0.9688164594837818,1.279074177681266],[1.6082792826544714,-1.1976301551774382,-1.5105913287753605,-0.9486440374558598,-0.7178910067748854,0.9841318510015337,1.2984220539960127],[1.6014413972749135,-1.133515278180911,-1.5586392286964414,-1.0002749052791786,-0.6741731387807387,1.0116977387717747,1.3338648382803648],[1.5941082405127502,-1.0355132682643273,-1.6319378882689017,-1.0764232809952314,-0.6083014697863895,1.051017646464108,1.3858456453768155],[1.5906563521713297,-0.9149053598217606,-1.7265920379048616,-1.175433988863358,-0.5207286624195216,1.1016689101108919,1.4536799955762694],[1.5953246339743696,-0.7825612403685647,-1.8294262595163313,-1.2854243233661438,-0.41148597802413966,1.1631044654081215,1.5359202645200052],[1.609825506693053,-0.6484822655577012,-1.9268528051481877,-1.4005449785334216,-0.2851056761658375,1.2340108254600757,1.6218939940328465],[1.6357974128381974,-0.5144311149078026,-2.0088721570511465,-1.5159798785059837,-0.14766078792277249,1.3052667696161586,1.707045218662434],[1.6776455153483307,-0.3801484012924634,-2.06623083334224,-1.6289252079767687,-0.010871954755538427,1.3703844880087117,1.7873646199955435],[1.730012106133519,-0.254561713606846,-2.09280425704259,-1.7360725578230438,0.11624113826205304,1.4261230555655238,1.8607472561534426],[1.7823596265608397,-0.1459960773499872,-2.0935805301205175,-1.826459929571412,0.2254559914221746,1.4732140728661385,1.9248630156754336],[1.8300802413731696,-0.06226112127526168,-2.076650245999082,-1.8912689228234385,0.3143887847787845,1.5087223608377998,1.9725004177913048],[1.8696299301288204,-0.00396587565833495,-2.051028503905358,-1.9295000486363634,0.3818940155897603,1.5329125092455653,2.005572039169285],[1.9009788468610114,0.03701021003019411,-2.026011166075398,-1.9500104384833472,0.42927257249049633,1.5477261370956872,2.0268667452282974]]"
L1_NO_REPLACE,0,0,hypothetical_l1_residual,0.0,0.03354029849217738,0.4309465603069602,"[[1.616017460823059,-1.2368052005767822,-1.4760117530822754,-0.911441445350647,-0.7484511733055115,0.9647760987281799,1.2710133790969849],[1.6157714128494263,-1.2361847162246704,-1.4766464233398438,-0.9120392203330994,-0.747839093208313,0.9650300145149231,1.2716337442398071],[1.6129262447357178,-1.22770357131958,-1.4848031997680664,-0.9203101396560669,-0.7401962876319885,0.9688163995742798,1.2790741920471191],[1.6082792282104492,-1.1976301670074463,-1.5105913877487183,-0.9486440420150757,-0.7178909778594971,0.9841318726539612,1.29842209815979],[1.6014413833618164,-1.1335152387619019,-1.5586392879486084,-1.000274896621704,-0.67417311668396,1.011697769165039,1.3338648080825806],[1.5941082239151,-1.0355132818222046,-1.631937861442566,-1.0764232873916626,-0.6083014011383057,1.0510176420211792,1.38584566116333],[1.5906563997268677,-0.914905309677124,-1.7265920639038086,-1.1754339933395386,-0.5207287073135376,1.1016689538955688,1.4536800384521484],[1.5953246355056763,-0.7825612425804138,-1.8294262886047363,-1.2854243516921997,-0.4114859700202942,1.1631044149398804,1.535920262336731],[1.6098254919052124,-0.6484822630882263,-1.926852822303772,-1.4005450010299683,-0.28510570526123047,1.2340108156204224,1.6218940019607544],[1.635797381401062,-0.5144311189651489,-2.0088722705841064,-1.5159800052642822,-0.14766079187393188,1.3052667379379272,1.7070451974868774],[1.6776455640792847,-0.38014841079711914,-2.0662307739257812,-1.6289252042770386,-0.010871946811676025,1.3703844547271729,1.7873646020889282],[1.730012059211731,-0.25456172227859497,-2.092804193496704,-1.7360725402832031,0.11624112725257874,1.4261231422424316,1.860747218132019],[1.7823596000671387,-0.14599609375,-2.093580484390259,-1.8264598846435547,0.22545599937438965,1.473214030265808,1.9248629808425903],[1.830080270767212,-0.062261126935482025,-2.0766501426696777,-1.8912689685821533,0.3143887519836426,1.5087223052978516,1.9725004434585571],[1.8696298599243164,-0.003965906798839569,-2.0510284900665283,-1.9295001029968262,0.3818940222263336,1.5329124927520752,2.0055720806121826],[1.9009788036346436,0.037010133266448975,-2.0260112285614014,-1.9500105381011963,0.42927253246307373,1.5477261543273926,2.0268666744232178]]"
L1_NO_REPLACE,0,0,hypothetical_l05_residual,0.0,0.03693820495498186,0.4428115026741243,"[[1.6225694417953491,-1.261906623840332,-1.4727736711502075,-0.9206856489181519,-0.7530291676521301,0.9469791054725647,1.2874526977539062],[1.6165019273757935,-1.2274600267410278,-1.4921016693115234,-0.9172836542129517,-0.7346498370170593,0.9680771827697754,1.2868322134017944],[1.6198676824569702,-1.1876296997070312,-1.520124912261963,-0.9555912017822266,-0.7189390659332275,0.9890764951705933,1.2963056564331055],[1.6141704320907593,-1.1171482801437378,-1.5591833591461182,-0.9913662672042847,-0.6812500953674316,1.0028198957443237,1.3195325136184692],[1.6117011308670044,-1.026747226715088,-1.6229636669158936,-1.0610262155532837,-0.642924427986145,1.0504589080810547,1.3492027521133423],[1.593650460243225,-0.9188138246536255,-1.7028443813323975,-1.155480146408081,-0.5863469839096069,1.083498477935791,1.3942378759384155],[1.5896358489990234,-0.7939848303794861,-1.809226155281067,-1.2581676244735718,-0.5169427990913391,1.1281391382217407,1.4566049575805664],[1.5843405723571777,-0.6653100252151489,-1.907765507698059,-1.3766547441482544,-0.4240016043186188,1.175721526145935,1.528420090675354],[1.5934805870056152,-0.5319091081619263,-2.0050175189971924,-1.4865962266921997,-0.31399890780448914,1.2287986278533936,1.6143263578414917],[1.617342472076416,-0.39404454827308655,-2.0829596519470215,-1.602687954902649,-0.1973370909690857,1.2823437452316284,1.6911139488220215],[1.6565804481506348,-0.26323825120925903,-2.1359751224517822,-1.7079763412475586,-0.06909342110157013,1.3356103897094727,1.7786058187484741],[1.6994335651397705,-0.13082951307296753,-2.1677303314208984,-1.7980114221572876,0.05274084210395813,1.3893955945968628,1.8604730367660522],[1.756163477897644,-0.005066379904747009,-2.1709988117218018,-1.8649921417236328,0.18537509441375732,1.4184335470199585,1.9389164447784424],[1.8010449409484863,0.11772526800632477,-2.165332317352295,-1.8998444080352783,0.296912282705307,1.463383674621582,2.01704478263855],[1.8436577320098877,0.21720466017723083,-2.125077486038208,-1.9234036207199097,0.42238903045654297,1.4893614053726196,2.076850414276123],[1.870119333267212,0.30519697070121765,-2.1180241107940674,-1.925085425376892,0.5078412294387817,1.5108046531677246,2.140690565109253]]"
