task_id,method,collision_rate,goal_error,min_clearance
0,GOAL_AWARE_FINAL_PROJECTION,0.0,0.43499504866950456,0.05038214018261456
0,PLAIN_FM,0.0,0.44758888589210927,0.06750230004457883
0,POV_L05_ALWAYS,0.0,0.4351189994467679,0.0411191317377155
0,YFLOW_MAIN_PORT,0.0,0.4158524984979795,0.033853116199747804
1,GOAL_AWARE_FINAL_PROJECTION,0.0625,0.30238239158442115,0.020266855718576705
1,PLAIN_FM,0.0,0.4723736604877442,0.025429672812985013
1,POV_L05_ALWAYS,0.0,0.3147055066543878,0.03286225240044413
1,YFLOW_MAIN_PORT,0.0,0.19366987549272388,0.02339115060411195
2,GOAL_AWARE_FINAL_PROJECTION,0.78125,0.43183843321431603,-0.008109362729887541
2,PLAIN_FM,0.0,0.3932154842427741,0.0755327573916504
2,POV_L05_ALWAYS,0.0,0.34533454873960745,0.05074606204780303
2,YFLOW_MAIN_PORT,0.0,0.3409214056250128,0.05662188219216999
3,GOAL_AWARE_FINAL_PROJECTION,1.0,0.3793132956858231,-0.05667618096708609
3,PLAIN_FM,0.0,0.914100349003658,0.106214144440736
3,POV_L05_ALWAYS,0.0,0.6440640929442363,0.07396224550917263
3,YFLOW_MAIN_PORT,1.0,0.5267184674162722,-0.026344834089435384
4,GOAL_AWARE_FINAL_PROJECTION,0.0625,0.21095364718954812,0.027310492252193563
4,PLAIN_FM,0.90625,0.2269892778485125,-0.006954046557986025
4,POV_L05_ALWAYS,0.03125,0.17321603371067942,0.014263364223129836
4,YFLOW_MAIN_PORT,0.0,0.20510630857096646,0.038564088521166474
5,GOAL_AWARE_FINAL_PROJECTION,1.0,0.5592681265392823,-0.03981278790899662
5,PLAIN_FM,0.0,1.0360043868094562,0.12875484179160962
5,POV_L05_ALWAYS,0.0,0.7338142459042354,0.08265389718289198
5,YFLOW_MAIN_PORT,1.0,0.4473761262058632,-0.03950136981769059
