method,task_id,seed,flow_step,t,lambda_pov,raw_velocity_norm,endpoint_constraint_violation_before_projection,endpoint_goal_error,endpoint_min_clearance,projection_called,projection_solver_success,projection_solver_status,projection_solver_iterations,projection_runtime_sec,projection_total_runtime_sec,correction_norm,normalized_correction_norm,velocity_change_norm,goal_error_before_projection,goal_error_after_projection,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error
PLAIN_FM,0,0,0,0.0,0.0,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
PLAIN_FM,0,0,1,0.14285714285714285,0.0,18.458784103393555,12.181367438697816,0.46808386114721884,0.0581863300731217,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
PLAIN_FM,0,0,2,0.2857142857142857,0.0,18.479833602905273,9.85798076953888,0.46792016357285443,0.06054826297534378,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
PLAIN_FM,0,0,3,0.42857142857142855,0.0,18.47991180419922,7.733020645046234,0.46563863092290675,0.06250954013200784,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
PLAIN_FM,0,0,4,0.5714285714285714,0.0,18.480724334716797,6.047917168998718,0.4620365789341203,0.06449717460091177,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
PLAIN_FM,0,0,5,0.7142857142857143,0.0,18.489437103271484,4.237767618560791,0.45864082238138,0.06745704706052007,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
PLAIN_FM,0,0,6,0.8571428571428571,0.0,18.207656860351562,4.166937333011627,0.4667795981086212,0.07128309431491557,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GOAL_AWARE_FINAL_PROJECTION,0,0,0,0.0,0.0,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GOAL_AWARE_FINAL_PROJECTION,0,0,1,0.14285714285714285,0.0,18.458784103393555,12.181367438697816,0.46808386114721884,0.0581863300731217,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GOAL_AWARE_FINAL_PROJECTION,0,0,2,0.2857142857142857,0.0,18.479833602905273,9.85798076953888,0.46792016357285443,0.06054826297534378,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GOAL_AWARE_FINAL_PROJECTION,0,0,3,0.42857142857142855,0.0,18.47991180419922,7.733020645046234,0.46563863092290675,0.06250954013200784,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GOAL_AWARE_FINAL_PROJECTION,0,0,4,0.5714285714285714,0.0,18.480724334716797,6.047917168998718,0.4620365789341203,0.06449717460091177,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GOAL_AWARE_FINAL_PROJECTION,0,0,5,0.7142857142857143,0.0,18.489437103271484,4.237767618560791,0.45864082238138,0.06745704706052007,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GOAL_AWARE_FINAL_PROJECTION,0,0,6,0.8571428571428571,0.0,18.207656860351562,4.166937333011627,0.4667795981086212,0.07128309431491557,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GOAL_AWARE_FINAL_PROJECTION,0,0,7,1.0,0.0,0.0,4.166937333011627,0.4667795981086212,0.07128309431491557,1.0,1.0,0.0,1,0.010550923994742334,0.0940353479818441,2.392152455426575,0.0,0.0,0.4667795981086212,0.46555232228474275,0.07128309431491557,0.04105707520412526,4.166937333011627,0.0,
NORMALIZED_POV_L1,0,0,0,0.0,1.0,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,1.0,1.0,0.0,2,0.02011477097403258,0.18441439198795706,3.296261463642977,3.2962613105773926,3.2962613105773926,0.45995284070968484,0.557340788311154,0.05759409375512976,0.09190732968881872,14.858668309116364,0.0,
