method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate,trigger_fraction,zero_projection_trajectory
PLAIN_FM,0,0,0.0,0.0,0.07128309431491557,0.0,0.26482270326614366,3.9021146297454834,0.4667795981086212,3.2125233831537368,0.8903069096375384,0.0547209868745947,54.7209868745947,12386.080328951233,0.13812201875114405,1.43700027116363,0.0891078480053693,0.04422855592565611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,0,0.0,0.0,0.09979415023727309,0.0,0.00033215847015366506,0.0,0.6078547369463205,2.266119931775533,0.5986556814601786,0.025467925540007944,25.467925540007943,354.08164625671816,0.31125374825135965,2.1921916959584387,0.19210948405088857,0.046300871938001364,0.042633323871996254,0.03234268008964136,7.0,0.0,18.075954926692887,1.7690675258636475,0.0,0.0,0.0
POV_L05_ALWAYS,0,0,0.0,0.0,0.04346607391588182,0.0,0.007745784187316751,0.0,0.4488678787312162,2.72357705673799,0.8064615866400666,0.025443588332901168,25.44358833290117,3289.6607772294756,0.23282392409792044,1.7687742602043532,1.4350360950338654,0.04838514298899099,1.300027757883072,0.1439420249662362,7.0,0.0,23.058177961813655,1.3138694763183594,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,0,0.0,0.0,0.04346607391588182,0.0,0.007745784187316751,0.0,0.4488678787312162,2.72357705673799,0.8064615866400666,0.025443588332901168,25.44358833290117,3289.6607772294756,0.23282392409792044,1.7687742602043532,1.4203561190515757,0.04906595102511346,1.2911181990639307,0.14356176694855094,7.0,0.0,23.058177961813655,1.3138694763183594,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,0,0.0,0.0,0.04773028851775034,0.0,0.018587869071960306,1.545943021774292,0.4496929611062177,2.9182876186463713,0.8351507410072827,0.03833146766693871,38.331467666938714,7797.169835677137,0.1363085995912888,1.5886716042621898,1.324340212973766,0.048891234037000686,1.195995144895278,0.13236784713808447,7.0,0.0,23.03810567711186,0.7383241653442383,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,0,0.0,0.0,0.041057072700821415,0.0,0.0,0.0,0.46555230869381264,2.5614427478670003,0.8182396501559387,0.030671665359715272,30.671665359715277,526.3127669160817,0.45299151984361724,2.128913457189414,0.17210939998039976,0.04354101902572438,0.09204215399222448,0.010406198038253933,1.0,0.0,2.392152455426575,2.3921525478363037,0.0,0.0,0.0
PLAIN_FM,0,1,0.0,0.0,0.0542539540896924,0.0,0.2275168464660644,0.0,0.448154549978916,3.1815735877522284,0.8986559665992776,0.047675735956651616,47.675735956651614,10510.871320750486,0.1331795841682959,1.3733572617495895,0.06911149504594505,0.04354296799283475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,1,0.0,0.0,0.08465102875678375,0.0,0.0020288990020751463,0.0,0.5944251490977533,2.24640699765861,0.6013823695290121,0.025009339868157898,25.0093398681579,346.7692980310533,0.31182574574389793,2.1610129658262514,0.18784527498064563,0.045798796985764056,0.04127893201075494,0.0316073420108296,7.0,0.0,18.008276588059413,1.686044454574585,0.0,0.0,0.0
POV_L05_ALWAYS,0,1,0.0,0.0,0.04147627424078798,0.0,0.07129545669555659,0.0,0.463383245814334,2.5058999646546,0.7869690972108667,0.03496181827061351,34.96181827061351,4523.842061670535,0.45609891741842834,2.034028286788254,1.6750694310176186,0.047781258006580174,1.5485982010723092,0.16383441805373877,7.0,0.0,26.222094180484618,2.377143621444702,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,1,0.0,0.0,0.04147627424078798,0.0,0.07129545669555659,0.0,0.463383245814334,2.5058999646546,0.7869690972108667,0.03496181827061351,34.96181827061351,4523.842061670535,0.45609891741842834,2.034028286788254,1.6848545219982043,0.048695250996388495,1.5555759509443305,0.16456520691281185,7.0,0.0,26.22209418048368,2.377143621444702,0.0,1.0,0.0
