method,t,predicted_endpoint_true_collision_rate,adaptive_trigger_rate,optimization_rate,mean_correction_norm,mean_normalized_correction_norm,mean_velocity_change,true_collision_rate_after_optimization,solver_success
ADAPTIVE_ALLTIME_L05,0.0,0.041666666666666664,1.0,1.0,4.73069510658702,4.730695109814405,2.3653475549072027,0.3802083333333333,1.0
ADAPTIVE_ALLTIME_L05,0.14285714285714285,0.052083333333333336,1.0,1.0,3.555991768802226,4.148656919598579,2.074328465076784,0.3072916666666667,1.0
ADAPTIVE_ALLTIME_L05,0.2857142857142857,0.052083333333333336,1.0,1.0,2.597398265942574,3.636357528467973,1.8181787605086963,0.20833333333333334,1.0
ADAPTIVE_ALLTIME_L05,0.42857142857142855,0.057291666666666664,1.0,1.0,2.019504039947875,3.53413206897676,1.7670660360405843,0.21354166666666666,1.0
ADAPTIVE_ALLTIME_L05,0.5714285714285714,0.08333333333333333,0.984375,0.984375,1.6505784668035755,3.851349640637636,1.9256748246649902,0.25396825396825395,1.0
ADAPTIVE_ALLTIME_L05,0.7142857142857143,0.11979166666666667,0.9322916666666666,0.9322916666666666,1.3282229269783776,4.6487802515427274,2.3243901170790195,0.26256983240223464,1.0
ADAPTIVE_ALLTIME_L05,0.8571428571428571,0.13020833333333334,0.859375,0.859375,1.0361785991381671,7.25325021147728,3.6266251107056937,0.24242424242424243,1.0
HYBRID_LATE_ADAPTIVE,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_ADAPTIVE,0.14285714285714285,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_ADAPTIVE,0.2857142857142857,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_ADAPTIVE,0.42857142857142855,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_ADAPTIVE,0.5714285714285714,0.0625,0.9739583333333334,0.9739583333333334,1.6899813374944836,3.943289669851462,1.9716448324422042,0.2727272727272727,1.0
HYBRID_LATE_ADAPTIVE,0.7142857142857143,0.09895833333333333,0.9270833333333334,0.9270833333333334,1.3813721396298402,4.8348025021453696,2.4174012380341687,0.2808988764044944,1.0
HYBRID_LATE_ADAPTIVE,0.8571428571428571,0.125,0.8489583333333334,0.8489583333333334,1.0612433784385267,7.4287036408980684,3.7143518179655075,0.22699386503067484,1.0
HYBRID_LATE_DAMPED,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_DAMPED,0.14285714285714285,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_DAMPED,0.2857142857142857,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_DAMPED,0.42857142857142855,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_DAMPED,0.5714285714285714,0.0625,0.0,1.0,1.7415475417186996,4.0636108095447225,2.031805405393243,0.2916666666666667,1.0
HYBRID_LATE_DAMPED,0.7142857142857143,0.09895833333333333,0.0,1.0,1.5072148759842152,5.275252082695563,2.637626025825739,0.3333333333333333,1.0
HYBRID_LATE_DAMPED,0.8571428571428571,0.125,0.0,1.0,1.2831607586179579,8.982125289738178,4.491062647352616,0.328125,1.0
PLAIN_FM,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,0.14285714285714285,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,0.2857142857142857,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,0.42857142857142855,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,0.5714285714285714,0.0625,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,0.7142857142857143,0.09895833333333333,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,0.8571428571428571,0.15104166666666666,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ALWAYS,0.0,0.041666666666666664,0.0,1.0,3.8244236126942384,3.824423615510265,1.9122118145848315,0.328125,1.0
POV_L05_ALWAYS,0.14285714285714285,0.052083333333333336,0.0,1.0,3.7581007860303672,4.384450788920124,2.1922253922869763,0.3072916666666667,1.0
POV_L05_ALWAYS,0.2857142857142857,0.052083333333333336,0.0,1.0,3.6647520836235614,5.130652811378241,2.5653264025847116,0.265625,1.0
POV_L05_ALWAYS,0.42857142857142855,0.0625,0.0,1.0,3.6504441641911645,6.388277288526297,3.194138651713729,0.234375,1.0
POV_L05_ALWAYS,0.5714285714285714,0.08333333333333333,0.0,1.0,3.539902268366609,8.259771677354971,4.129885865996282,0.2760416666666667,1.0
POV_L05_ALWAYS,0.7142857142857143,0.13020833333333334,0.0,1.0,3.321934059236502,11.626769185066223,5.8133846037089825,0.3697916666666667,1.0
POV_L05_ALWAYS,0.8571428571428571,0.13020833333333334,0.0,1.0,3.0605760068969605,21.424032111962635,10.712016016244888,0.3333333333333333,1.0
YFLOW_MAIN_PORT,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,0.14285714285714285,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,0.2857142857142857,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,0.42857142857142855,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,0.5714285714285714,0.0625,0.0,1.0,1.7527104924232892,4.089657684167226,4.089657684167226,0.2864583333333333,1.0
YFLOW_MAIN_PORT,0.7142857142857143,0.10416666666666667,0.0,1.0,1.4898921849639555,5.214622650295496,5.214622650295496,0.3177083333333333,1.0
YFLOW_MAIN_PORT,0.8571428571428571,0.11458333333333333,0.0,1.0,1.1742454692744084,8.219718272487322,8.219718272487322,0.3333333333333333,1.0
