method,reference_method,reference_state,method_state,count
POV_L05_ALWAYS,PLAIN_FM,safe,safe,163
POV_L05_ALWAYS,PLAIN_FM,safe,collision,0
POV_L05_ALWAYS,PLAIN_FM,collision,safe,28
POV_L05_ALWAYS,PLAIN_FM,collision,collision,1
YFLOW_MAIN_PORT,PLAIN_FM,safe,safe,99
YFLOW_MAIN_PORT,PLAIN_FM,safe,collision,64
YFLOW_MAIN_PORT,PLAIN_FM,collision,safe,29
YFLOW_MAIN_PORT,PLAIN_FM,collision,collision,0
HYBRID_LATE_DAMPED,PLAIN_FM,safe,safe,163
HYBRID_LATE_DAMPED,PLAIN_FM,safe,collision,0
HYBRID_LATE_DAMPED,PLAIN_FM,collision,safe,28
HYBRID_LATE_DAMPED,PLAIN_FM,collision,collision,1
HYBRID_LATE_DAMPED,POV_L05_ALWAYS,safe,safe,190
HYBRID_LATE_DAMPED,POV_L05_ALWAYS,safe,collision,1
HYBRID_LATE_DAMPED,POV_L05_ALWAYS,collision,safe,1
HYBRID_LATE_DAMPED,POV_L05_ALWAYS,collision,collision,0
HYBRID_LATE_ADAPTIVE,PLAIN_FM,safe,safe,163
HYBRID_LATE_ADAPTIVE,PLAIN_FM,safe,collision,0
HYBRID_LATE_ADAPTIVE,PLAIN_FM,collision,safe,28
HYBRID_LATE_ADAPTIVE,PLAIN_FM,collision,collision,1
HYBRID_LATE_ADAPTIVE,POV_L05_ALWAYS,safe,safe,190
HYBRID_LATE_ADAPTIVE,POV_L05_ALWAYS,safe,collision,1
HYBRID_LATE_ADAPTIVE,POV_L05_ALWAYS,collision,safe,1
HYBRID_LATE_ADAPTIVE,POV_L05_ALWAYS,collision,collision,0
ADAPTIVE_ALLTIME_L05,PLAIN_FM,safe,safe,163
ADAPTIVE_ALLTIME_L05,PLAIN_FM,safe,collision,0
ADAPTIVE_ALLTIME_L05,PLAIN_FM,collision,safe,29
ADAPTIVE_ALLTIME_L05,PLAIN_FM,collision,collision,0
ADAPTIVE_ALLTIME_L05,POV_L05_ALWAYS,safe,safe,191
ADAPTIVE_ALLTIME_L05,POV_L05_ALWAYS,safe,collision,0
ADAPTIVE_ALLTIME_L05,POV_L05_ALWAYS,collision,safe,1
ADAPTIVE_ALLTIME_L05,POV_L05_ALWAYS,collision,collision,0
