method,task_id,seed,flow_step,t,lambda_pov,raw_velocity_norm,endpoint_constraint_violation_before_projection,endpoint_goal_error,endpoint_min_clearance,projection_called,projection_solver_success,projection_solver_status,projection_solver_iterations,projection_runtime_sec,projection_total_runtime_sec,correction_norm,normalized_correction_norm,velocity_change_norm,goal_error_before_projection,goal_error_after_projection,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,predicted_endpoint_true_collision,adaptive_trigger,optimization_rate,unsafe_endpoint,time_eligible,raw_tracking_weight,safety_trigger_runtime_sec,true_collision_after_optimization,terminal_step,projection_active,eta
PLAIN_FM,0,0,0,0.0,0.0,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,0,1,0.14285714285714285,0.0,18.458784103393555,12.181367438697816,0.46808386114721884,0.0581863300731217,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,0,2,0.2857142857142857,0.0,18.479833602905273,9.85798076953888,0.46792016357285443,0.06054826297534378,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,0,3,0.42857142857142855,0.0,18.47991180419922,7.733020645046234,0.46563863092290675,0.06250954013200784,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,0,4,0.5714285714285714,0.0,18.480724334716797,6.047917168998718,0.4620365789341203,0.06449717460091177,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,0,5,0.7142857142857143,0.0,18.489437103271484,4.237767618560791,0.45864082238138,0.06745704706052007,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,0,6,0.8571428571428571,0.0,18.207656860351562,4.166937333011627,0.4667795981086212,0.07128309431491557,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
POV_L05_ALWAYS,0,0,0,0.0,0.5,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,1.0,1.0,0.0,2,0.021022622007876635,0.19047008000779897,3.296261463642977,3.2962613105773926,1.6481306552886963,0.45995284070968484,0.557340788311154,0.05759409375512976,0.09190732968881872,14.858668309116364,0.0,,0.0,0.0,1.0,,,,0.0,0.0,,,
POV_L05_ALWAYS,0,0,1,0.14285714285714285,0.5,18.524404525756836,12.612890463733674,0.4696669896230639,0.05819419380265674,1.0,1.0,0.0,2,0.021036411984823644,0.18953219696413726,3.42950477348053,4.001089096069336,2.000544548034668,0.4696669896230639,0.5641663276876543,0.05819419380265674,0.08429101599676982,12.612890463733674,0.0,,0.0,0.0,1.0,,,,0.0,0.0,,,
POV_L05_ALWAYS,0,0,2,0.2857142857142857,0.5,18.6879825592041,10.919308226966859,0.4712944982785948,0.06054079781228559,1.0,1.0,0.0,3,0.029492762056179345,0.28084906499134377,2.562671817095431,3.587740421295166,1.7938703298568726,0.4712944982785948,0.3524974341709879,0.06054079781228559,0.060053258733117065,10.919308226966859,0.004154639142272654,,0.0,0.0,1.0,,,,0.0,0.0,,,
