method,metric,count,mean,std,median,ci95_low,ci95_high,numerator,denominator
PLAIN_FM,collision,192,0.15104166666666666,0.3590256715191452,0.0,0.10416666666666667,0.203125,29,192
PLAIN_FM,min_clearance,192,0.06607994498726234,0.0464402173933233,0.07224767368832588,0.05935716868443046,0.0724806079019491,,
PLAIN_FM,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,velocity_violation,192,0.14108484804891042,0.11763174054450541,0.1586466596603393,0.12440450941150072,0.1574355531422544,,
PLAIN_FM,acceleration_violation,192,0.8694762855884619,0.8789335434094719,0.7180225849151611,0.7451490448584082,0.9963207730227925,,
PLAIN_FM,terminal_goal_error,192,0.581712007380709,0.2923704976123582,0.4567006790076434,0.543149736394094,0.6246165476490962,,
PLAIN_FM,joint_path_length,192,2.504356476379772,0.7827261233815049,2.5244254456368838,2.390788815152692,2.613541381315044,,
PLAIN_FM,smoothness,192,0.04003616932472737,0.010699975704169517,0.04038679710003348,0.03851866435966182,0.04152365481261555,,
PLAIN_FM,trajectory_distortion_vs_plain,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,planning_latency_sec,192,0.07026299016645983,0.0016133724485693772,0.0700252870155964,0.07008349164029823,0.07054251285446754,,
PLAIN_FM,fm_latency_sec,192,0.04363468177264925,0.0005201791029280855,0.043538193946005777,0.043562430291262895,0.043706360183477955,,
PLAIN_FM,optimizer_latency_sec,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,safety_trigger_latency_sec,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_calls,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,failed_projection_solves,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ALWAYS,collision,192,0.005208333333333333,0.07216878364870323,0.0,0.0,0.015625,1,192
POV_L05_ALWAYS,min_clearance,192,0.04940994827645914,0.024354334346139365,0.04750381475322272,0.04596510998619611,0.052705662070913005,,
POV_L05_ALWAYS,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ALWAYS,velocity_violation,192,0.00991496284753081,0.02331304048319288,0.0,0.00667588535246747,0.013513166586557988,,
POV_L05_ALWAYS,acceleration_violation,192,0.02581740574290355,0.14007969834112147,0.0,0.008416051045060158,0.04835688679789501,,
POV_L05_ALWAYS,terminal_goal_error,192,0.4389174662737743,0.19699988909330096,0.3754372571022254,0.4109576561778249,0.4669216083960375,,
POV_L05_ALWAYS,joint_path_length,192,1.908124785441941,0.694442445292805,1.8534233241685498,1.804859559484618,2.0087283183645055,,
POV_L05_ALWAYS,smoothness,192,0.02018145276045415,0.006715819394320612,0.019030382943092172,0.019212901491437905,0.021124406154746197,,
POV_L05_ALWAYS,trajectory_distortion_vs_plain,192,1.9600648240496714,0.38057296852569467,2.008737325668335,1.903759932036822,2.0139189396674433,,
POV_L05_ALWAYS,planning_latency_sec,192,1.3732757263760504,0.21482796979151172,1.3377764995093457,1.3429468610993731,1.4027756179302286,,
POV_L05_ALWAYS,fm_latency_sec,192,0.04797701765104042,0.0008814435641290015,0.04768515398609452,0.04786247054235749,0.04809632924073715,,
POV_L05_ALWAYS,optimizer_latency_sec,192,1.243001701586157,0.21507277032121874,1.2075345090415794,1.2128644479154673,1.273975019280412,,
POV_L05_ALWAYS,safety_trigger_latency_sec,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ALWAYS,projection_calls,192,7.0,0.0,7.0,7.0,7.0,,
POV_L05_ALWAYS,failed_projection_solves,192,0.0,0.0,0.0,0.0,0.0,,
POV_L05_ALWAYS,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,collision,192,0.3333333333333333,0.472636953013913,0.0,0.270703125,0.4010416666666667,64,192
YFLOW_MAIN_PORT,min_clearance,192,0.014339073233211465,0.03584776957831843,0.02831845052460743,0.009247476080459642,0.019545315650391533,,
YFLOW_MAIN_PORT,joint_limit_violation,192,6.06403395090697e-10,8.402571921434806e-09,0.0,0.0,1.819210185272091e-09,,
YFLOW_MAIN_PORT,velocity_violation,192,0.00046841850566364807,0.0013451019784150586,0.0,0.00028784679382106435,0.0006718226236228868,,
YFLOW_MAIN_PORT,acceleration_violation,192,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,terminal_goal_error,192,0.3545738223885277,0.12537330783928863,0.36668464415035806,0.33609236603962966,0.37226325106791697,,
YFLOW_MAIN_PORT,joint_path_length,192,2.0113959450988985,0.5798405536094873,1.9664710552278724,1.9322549901161836,2.0936155622062684,,
YFLOW_MAIN_PORT,smoothness,192,0.022911460273553296,0.007726071379799267,0.021732070507075124,0.021842430434503558,0.02400124196351961,,
YFLOW_MAIN_PORT,trajectory_distortion_vs_plain,192,1.4673301416138809,0.3371412684919336,1.4905524253845215,1.418093246058561,1.5169333111494778,,
YFLOW_MAIN_PORT,planning_latency_sec,192,0.47857431604946515,0.09391751931280366,0.46744533901801333,0.46548337405127616,0.4921779900137381,,
YFLOW_MAIN_PORT,fm_latency_sec,192,0.04538233189365807,0.0005109692195372228,0.04522556290612556,0.04530690368670397,0.04545989213378713,,
YFLOW_MAIN_PORT,optimizer_latency_sec,192,0.38173911845236336,0.09395672917453626,0.3707659614738077,0.36884123819372694,0.3958798317861541,,
YFLOW_MAIN_PORT,safety_trigger_latency_sec,192,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,projection_calls,192,3.0,0.0,3.0,3.0,3.0,,
YFLOW_MAIN_PORT,failed_projection_solves,192,0.0,0.0,0.0,0.0,0.0,,
YFLOW_MAIN_PORT,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_DAMPED,collision,192,0.005208333333333333,0.07216878364870323,0.0,0.0,0.020833333333333332,1,192
HYBRID_LATE_DAMPED,min_clearance,192,0.05710405144350896,0.028608381076917176,0.05766725363489976,0.053175948657115814,0.061032172845726866,,
HYBRID_LATE_DAMPED,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_DAMPED,velocity_violation,192,0.018838759960172032,0.033345620871205135,0.0,0.014206429061878745,0.02359005485869163,,
HYBRID_LATE_DAMPED,acceleration_violation,192,0.006631693492333095,0.0650901820663052,0.0,2.4531036615371704e-05,0.017027045289675396,,
HYBRID_LATE_DAMPED,terminal_goal_error,192,0.4650596357616812,0.19718535590261346,0.3910938130038956,0.43799736786209337,0.49253969366039296,,
HYBRID_LATE_DAMPED,joint_path_length,192,2.187672930685633,0.7012174178605509,2.214752178748584,2.092509796608657,2.284474632126089,,
HYBRID_LATE_DAMPED,smoothness,192,0.020120873632321335,0.005594738515624953,0.020429145379937452,0.01932895194057201,0.020877480211779705,,
HYBRID_LATE_DAMPED,trajectory_distortion_vs_plain,192,0.7866902900859714,0.2016128725362737,0.7844581604003906,0.7576702030297989,0.8159545753888475,,
HYBRID_LATE_DAMPED,planning_latency_sec,192,0.48078407259921124,0.09118528859754123,0.4675616789900232,0.4683183956573581,0.4938647254839604,,
HYBRID_LATE_DAMPED,fm_latency_sec,192,0.045385426932625705,0.00046425211004447344,0.04525131295667961,0.04532273386568401,0.04545046441332185,,
HYBRID_LATE_DAMPED,optimizer_latency_sec,192,0.38380065916862804,0.09119400613825086,0.3707520210009534,0.370294521104582,0.3964764000200148,,
HYBRID_LATE_DAMPED,safety_trigger_latency_sec,192,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_DAMPED,projection_calls,192,3.0,0.0,3.0,3.0,3.0,,
HYBRID_LATE_DAMPED,failed_projection_solves,192,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_DAMPED,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_ADAPTIVE,collision,192,0.005208333333333333,0.07216878364870323,0.0,0.0,0.015625,1,192
HYBRID_LATE_ADAPTIVE,min_clearance,192,0.06364709096565518,0.03699519736129405,0.05766725363489976,0.05831099145928673,0.06899488219849007,,
HYBRID_LATE_ADAPTIVE,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_ADAPTIVE,velocity_violation,192,0.018868124560949658,0.03336924206179604,0.0,0.014432231663949757,0.023986807935001894,,
HYBRID_LATE_ADAPTIVE,acceleration_violation,192,0.006631693492333095,0.0650901820663052,0.0,2.4531036615371704e-05,0.017221812158823013,,
HYBRID_LATE_ADAPTIVE,terminal_goal_error,192,0.506269543406514,0.2628871504363693,0.409646696851488,0.4702850191766511,0.5439504925363768,,
HYBRID_LATE_ADAPTIVE,joint_path_length,192,2.199274206689713,0.6888354100765236,2.270830517184191,2.103489649655048,2.2926701123964306,,
HYBRID_LATE_ADAPTIVE,smoothness,192,0.022047827455540098,0.004732870871627991,0.021498644033106556,0.021397798201950948,0.02270013717345484,,
HYBRID_LATE_ADAPTIVE,trajectory_distortion_vs_plain,192,0.6708494846437437,0.3185556362032869,0.6675611734390259,0.6249944135750412,0.7160269903344063,,
HYBRID_LATE_ADAPTIVE,planning_latency_sec,192,0.4547574153111782,0.13336641954747253,0.4676419015158899,0.43601140383541404,0.4741247295095869,,
HYBRID_LATE_ADAPTIVE,fm_latency_sec,192,0.04532536990185084,0.0006008016305849126,0.04523250655620359,0.04524369109405295,0.045417196794134425,,
HYBRID_LATE_ADAPTIVE,optimizer_latency_sec,192,0.35992184592547954,0.1289560825310356,0.37080117099685594,0.3418379539673348,0.37797138057983376,,
HYBRID_LATE_ADAPTIVE,safety_trigger_latency_sec,192,0.01102953464123857,0.00010430616762187112,0.011017582000931725,0.011014438687213138,0.011044581040262832,,
HYBRID_LATE_ADAPTIVE,projection_calls,192,2.75,0.6631670799400634,3.0,2.6614583333333335,2.8385416666666665,,
HYBRID_LATE_ADAPTIVE,failed_projection_solves,192,0.0,0.0,0.0,0.0,0.0,,
HYBRID_LATE_ADAPTIVE,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
ADAPTIVE_ALLTIME_L05,collision,192,0.0,0.0,0.0,0.0,0.0,0,192
ADAPTIVE_ALLTIME_L05,min_clearance,192,0.06290729060289822,0.03564457252181918,0.0597587280153392,0.05788131744772041,0.06794493500271238,,
ADAPTIVE_ALLTIME_L05,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
ADAPTIVE_ALLTIME_L05,velocity_violation,192,0.01592337931928531,0.029640044041811586,0.0,0.011766212847450094,0.020148665090165985,,
ADAPTIVE_ALLTIME_L05,acceleration_violation,192,0.006524290268619855,0.05290482433918236,0.0,0.0,0.015003898491462072,,
ADAPTIVE_ALLTIME_L05,terminal_goal_error,192,0.5009199100565273,0.2545334721340522,0.41069586229870414,0.4660055460636977,0.535816209956382,,
ADAPTIVE_ALLTIME_L05,joint_path_length,192,2.1754520720731954,0.6790996424541574,2.253031376414248,2.080398976970165,2.2676914308257152,,
ADAPTIVE_ALLTIME_L05,smoothness,192,0.022208894958085323,0.005139509287949204,0.022098345439425682,0.021495690202373713,0.022993563499822362,,
ADAPTIVE_ALLTIME_L05,trajectory_distortion_vs_plain,192,0.7374426199821755,0.32715774603814807,0.7012939751148224,0.6901538078663483,0.7865580661891727,,
ADAPTIVE_ALLTIME_L05,planning_latency_sec,192,1.3578001823179875,0.2537369252580594,1.3496166630066,1.3216318603977772,1.3932703957862411,,
ADAPTIVE_ALLTIME_L05,fm_latency_sec,192,0.04861460807569529,0.001071734263952102,0.04840512006194331,0.04846850173387338,0.04877228598475843,,
ADAPTIVE_ALLTIME_L05,optimizer_latency_sec,192,1.2258449335534654,0.2503637983687988,1.2143502505205106,1.1897030378493203,1.2625394702424502,,
ADAPTIVE_ALLTIME_L05,safety_trigger_latency_sec,192,0.02596688563638357,0.00031293770377663685,0.02594612952088937,0.025924749245867438,0.026015150379134867,,
ADAPTIVE_ALLTIME_L05,projection_calls,192,6.776041666666667,0.6026546494693712,7.0,6.692708333333333,6.859375,,
ADAPTIVE_ALLTIME_L05,failed_projection_solves,192,0.0,0.0,0.0,0.0,0.0,,
ADAPTIVE_ALLTIME_L05,projection_failure_rate,192,0.0,0.0,0.0,0.0,0.0,,
